player_id,match_id,minutes_played,goals,assists,total_shots,xg,xa,shots_on_target,successful_dribbles,big_chances_missed,touches_opposition_box,touches,accurate_passes,accurate_passes_percent,chances_created,final_third_passes,accurate_crosses,accurate_crosses_percent,accurate_long_balls,accurate_long_balls_percent,tackles_won,interceptions,recoveries,blocks,clearances,headed_clearances,dribbled_past,duels_won,duels_lost,ground_duels_won,ground_duels_won_percent,aerial_duels_won,aerial_duels_won_percent,was_fouled,fouls_committed,saves,goals_conceded,xgot_faced,goals_prevented,sweeper_actions,gk_accurate_passes,gk_accurate_long_balls,dispossessed,high_claim,corners,saves_inside_box,offsides,successful_dribbles_percent,tackles_won_percent,xgot,tackles,start_min,finish_min,team_goals_conceded,penalties_scored,penalties_missed,top_speed,distance_covered,walking_distance,running_distance,sprinting_distance,number_of_sprints
646,25-26-prem-newcastle-united-vs-wolverhampton-wanderers,90,0,0,0,0.0,0.07,0,1,0,1,61,28,0.0,1.0,7,1,0.0,1,0.0,0,2,9,0,4,2,2,8,10,5,0.0,3,0.0,1,5,0,0,0.0,0.0,0,0,0,,0,0,0,0,0.0,0.0,0.0,3,0,95,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0
476,25-26-prem-newcastle-united-vs-wolverhampton-wanderers,90,0,0,1,0.04,0.0,0,0,0,3,60,39,0.0,0.0,4,0,0.0,2,0.0,0,1,3,0,3,2,0,6,4,2,0.0,4,0.0,0,1,0,0,0.0,0.0,0,0,0,,0,0,0,0,0.0,0.0,0.0,2,0,95,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
633,25-26-prem-newcastle-united-vs-wolverhampton-wanderers,90,0,0,0,0.0,0.11,0,2,0,4,63,16,0.0,2.0,1,2,0.0,0,0.0,0,1,4,0,4,2,2,9,8,8,0.0,1,0.0,0,1,0,0,0.0,0.0,0,0,0,,0,0,0,0,0.0,0.0,0.0,6,0,95,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0
635,25-26-prem-newcastle-united-vs-wolverhampton-wanderers,77,0,0,3,0.29,0.0,1,2,0,5,33,11,0.0,0.0,0,0,0.0,0,0.0,0,2,4,0,3,1,1,4,1,4,0.0,0,0.0,0,0,0,0,0.0,0.0,0,0,0,,0,0,0,0,0.0,0.0,0.15,2,0,77,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0
477,25-26-prem-newcastle-united-vs-wolverhampton-wanderers,90,0,0,0,0.0,0.04,0,0,0,1,76,45,0.0,0.0,9,0,0.0,1,0.0,0,0,5,0,2,1,2,5,9,3,0.0,2,0.0,1,1,0,0,0.0,0.0,0,0,0,,0,0,0,0,0.0,0.0,0.0,2,0,95,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
490,25-26-prem-newcastle-united-vs-wolverhampton-wanderers,65,0,0,0,0.0,0.29,0,0,0,4,32,23,0.0,1.0,6,0,0.0,0,0.0,0,0,1,0,1,0,0,2,1,0,0.0,2,0.0,0,1,0,0,0.0,0.0,0,0,0,,0,0,0,0,0.0,0.0,0.0,0,0,65,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
637,25-26-prem-newcastle-united-vs-wolverhampton-wanderers,90,0,0,1,0.01,0.01,1,0,0,2,69,46,0.0,0.0,8,0,0.0,1,0.0,0,1,8,0,3,1,0,3,5,1,0.0,2,0.0,1,0,0,0,0.0,0.0,0,0,0,,0,0,0,0,0.0,0.0,0.05,0,0,95,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0
631,25-26-prem-newcastle-united-vs-wolverhampton-wanderers,90,0,0,0,0.0,0.02,0,0,0,0,63,31,0.0,0.0,10,0,0.0,3,0.0,0,2,3,4,6,3,0,3,5,2,0.0,1,0.0,0,3,0,0,0.0,0.0,0,0,0,,0,0,0,0,0.0,0.0,0.0,2,0,95,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0
487,25-26-prem-newcastle-united-vs-wolverhampton-wanderers,80,0,0,3,0.11,0.09,0,0,0,6,42,18,0.0,0.0,1,0,0.0,0,0.0,0,0,2,0,1,0,1,2,3,2,0.0,0,0.0,1,0,0,0,0.0,0.0,0,0,0,,0,0,0,0,0.0,0.0,0.0,1,0,80,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
645,25-26-prem-newcastle-united-vs-wolverhampton-wanderers,13,0,0,0,0.0,0.07,0,1,0,1,9,7,0.0,1.0,2,0,0.0,0,0.0,0,0,0,0,0,0,0,1,0,1,0.0,0,0.0,0,0,0,0,0.0,0.0,0,0,0,,0,0,0,0,0.0,0.0,0.0,0,77,95,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
