id,first_name,second_name,web_name,status,news,news_added,now_cost,now_cost_rank,now_cost_rank_type,selected_by_percent,selected_rank,selected_rank_type,form,form_rank,form_rank_type,event_points,cost_change_event,cost_change_event_fall,cost_change_start,cost_change_start_fall,transfers_in_event,transfers_out_event,value_form,value_season,ep_next,ep_this,points_per_game,points_per_game_rank,points_per_game_rank_type,chance_of_playing_next_round,chance_of_playing_this_round,influence_rank,influence_rank_type,creativity_rank,creativity_rank_type,threat_rank,threat_rank_type,ict_index_rank,ict_index_rank_type,corners_and_indirect_freekicks_order,direct_freekicks_order,penalties_order,set_piece_threat,corners_and_indirect_freekicks_text,direct_freekicks_text,penalties_text,expected_goals_per_90,expected_assists_per_90,expected_goal_involvements_per_90,expected_goals_conceded_per_90,saves_per_90,clean_sheets_per_90,goals_conceded_per_90,starts_per_90,defensive_contribution_per_90,gw,total_points,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,starts,bonus,bps,transfers_in,transfers_out,dreamteam_count,expected_goals,expected_assists,expected_goal_involvements,expected_goals_conceded,influence,creativity,threat,ict_index,tackles,clearances_blocks_interceptions,recoveries,defensive_contribution
1,David,Raya Martín,Raya,a,,,5.9,94,1.0,34.0,6,1.0,2.8,128.0,9.0,2,0,0.0,4,-4.0,41576,7148,0.5,11.2,3.8,3.8,4.4,55.0,4.0,,,110.0,16.0,363.0,3.0,747.0,88.0,247.0,16.0,,,,,,,,0.0,0.0,0.0,0.64,1.67,0.53,0.6,1.0,0.0,15,2.0,90.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,0.0,13.0,74070.0,14398.0,0.0,0.0,0.0,0.0,2.2700000000000005,35.19999999999999,0.0,0.0,3.5,0.0,0.0,7.0,0.0
2,Kepa,Arrizabalaga Revuelta,Arrizabalaga,a,,,4.2,607,37.0,0.4,261,34.0,0.0,500.0,73.0,0,0,0.0,-3,3.0,86,221,0.0,0.0,1.0,1.0,0.0,568.0,78.0,,,564.0,78.0,551.0,66.0,521.0,52.0,564.0,78.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,190.0,475.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,Karl,Hein,Hein,u,Has joined Werder Bremen on loan for the rest of the season.,,4.0,649,56.0,0.2,335,47.0,0.0,465.0,62.0,0,0,0.0,0,0.0,0,126,0.0,0.0,0.0,0.0,0.0,534.0,67.0,0.0,0.0,530.0,67.0,517.0,55.0,486.0,41.0,530.0,67.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,262.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,Tommy,Setford,Setford,a,,,3.9,736,87.0,0.2,363,52.0,0.0,431.0,44.0,0,0,0.0,-1,1.0,312,179,0.0,0.0,1.0,1.0,0.0,502.0,50.0,,,498.0,50.0,483.0,36.0,451.0,22.0,498.0,50.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,815.0,336.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,Gabriel,dos Santos Magalhães,Gabriel,i,Thigh injury - Unknown return date,,6.3,72,2.0,16.4,24,8.0,0.2,376.0,131.0,0,0,0.0,3,-3.0,749,42658,0.0,12.9,0.0,0.0,7.4,2.0,1.0,0.0,0.0,38.0,19.0,222.0,60.0,161.0,32.0,104.0,30.0,,,,,,,,0.07,0.06,0.13,0.56,0.0,0.64,0.45,1.0,9.09,15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,939.0,102261.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,William,Saliba,Saliba,d,Knock - 75% chance of playing,,6.0,90,6.0,11.3,35,12.0,0.6,325.0,113.0,0,0,0.0,0,0.0,1418,19905,0.1,6.8,1.2,1.2,3.7,105.0,38.0,75.0,75.0,146.0,62.0,282.0,86.0,320.0,106.0,254.0,83.0,,,,,,,,0.03,0.03,0.06,0.52,0.0,0.55,0.44,1.11,6.86,15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2082.0,45189.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,Riccardo,Calafiori,Calafiori,s,Suspended until 20 Dec,,5.8,109,8.0,15.2,25,9.0,2.2,174.0,58.0,1,0,0.0,3,-3.0,16893,27691,0.4,12.2,0.0,3.2,4.7,32.0,18.0,0.0,100.0,134.0,57.0,155.0,36.0,46.0,3.0,86.0,23.0,,,,,,,,0.19,0.03,0.22,0.54,0.0,0.62,0.54,1.16,5.94,15,1.0,85.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,2.0,38056.0,34519.0,0.0,0.0,0.010000000000000009,0.009999999999999787,1.4399999999999995,4.400000000000006,3.0999999999999943,6.0,1.4000000000000057,3.0,2.0,2.0,5.0
8,Jurriën,Timber,J.Timber,a,,,6.4,66,1.0,35.1,5,2.0,2.4,156.0,52.0,3,0,0.0,9,-9.0,40572,16499,0.4,12.2,3.4,3.4,5.2,18.0,9.0,,,57.0,25.0,60.0,12.0,35.0,1.0,30.0,1.0,,,,,,,,0.23,0.05,0.28,0.62,0.0,0.45,0.68,0.98,6.09,15,3.0,90.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,8.0,76288.0,34474.0,0.0,0.22999999999999998,0.010000000000000009,0.2400000000000002,2.2699999999999996,23.80000000000001,1.799999999999983,4.0,3.0,3.0,7.0,4.0,10.0
9,Jakub,Kiwior,Kiwior,u,has joined Porto on loan for the rest of the season.,,5.4,169,19.0,0.1,566,203.0,0.0,722.0,245.0,0,0,0.0,-1,1.0,0,5,0.0,0.0,0.0,0.0,0.0,737.0,248.0,0.0,0.0,739.0,250.0,738.0,250.0,734.0,249.0,739.0,250.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,Myles,Lewis-Skelly,Lewis-Skelly,a,,,5.1,238,37.0,1.5,146,59.0,0.4,340.0,119.0,1,0,0.0,-4,4.0,745,771,0.1,1.6,1.4,1.4,0.8,447.0,152.0,,,401.0,147.0,372.0,126.0,381.0,137.0,416.0,147.0,,,,,,,,0.0,0.01,0.01,1.52,0.0,0.0,1.32,0.0,5.29,15,1.0,4.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,968.0,1617.0,0.0,0.0,0.0,0.0,0.8299999999999998,1.1999999999999993,0.09999999999999964,0.0,0.10000000000000009,0.0,0.0,0.0,0.0
