id,status,chance_of_playing_next_round,chance_of_playing_this_round,now_cost,now_cost_rank,now_cost_rank_type,cost_change_event,cost_change_event_fall,cost_change_start,cost_change_start_fall,selected_by_percent,selected_rank,selected_rank_type,total_points,event_points,points_per_game,points_per_game_rank,points_per_game_rank_type,bonus,bps,form,form_rank,form_rank_type,value_form,value_season,dreamteam_count,transfers_in,transfers_in_event,transfers_out,transfers_out_event,ep_next,ep_this,expected_goals,expected_assists,expected_goal_involvements,expected_goals_conceded,expected_goals_per_90,expected_assists_per_90,expected_goal_involvements_per_90,expected_goals_conceded_per_90,influence,influence_rank,influence_rank_type,creativity,creativity_rank,creativity_rank_type,threat,threat_rank,threat_rank_type,ict_index,ict_index_rank,ict_index_rank_type,corners_and_indirect_freekicks_order,direct_freekicks_order,penalties_order,gw,set_piece_threat,first_name,second_name,web_name,news,news_added,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,starts,defensive_contribution,corners_and_indirect_freekicks_text,direct_freekicks_text,penalties_text,saves_per_90,clean_sheets_per_90,goals_conceded_per_90,starts_per_90,defensive_contribution_per_90
71,u,0.0,0.0,5.0,285,47,0,0,0,0,0.0,628,215,0,0,0.0,694,239,0,0,0.0,685,237,0.0,0.0,0,0,0,7481,95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,691,239,0.0,692,239,0.0,676,234,0.0,692,239,,,,6,,Illia,Zabarnyi,Zabarnyi,Has joined Paris Saint-Germain permanently.,2025-08-12T13:14:36.02817+00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0.0,0.0,0.0,0.0,0.0
72,a,,,4.7,384,66,0,0,2,-2,12.9,32,11,37,9,7.4,5,3,5,110,8.7,3,2,1.9,7.9,1,1483354,277048,153893,9589,9.2,8.2,0.14,0.15,0.29,3.62,0.03,0.03,0.06,0.72,144.8,13,4,42.8,112,26,14.0,226,65,20.2,65,16,,,,6,,Marcos,Senesi Barón,Senesi,,,450,0,1,3,5,0,0,0,1,0,0,5,66,,,,0.0,0.6,1.0,1.0,13.2
73,i,0.0,0.0,4.5,389,70,0,0,0,0,0.2,362,129,8,0,2.7,187,73,0,28,0.3,350,121,0.1,1.8,0,13525,19,25721,1326,0.0,0.0,0.0,0.09,0.09,2.56,0.0,0.04,0.04,1.13,17.8,298,116,14.0,248,82,4.0,301,103,3.6,325,113,,,,6,,Adam,Smith,Smith,Hamstring injury - Expected back 18 Oct,2025-08-31T01:00:07.918421+00:00,204,0,0,1,3,0,0,0,0,0,0,3,11,,,,0.0,0.44,1.32,1.32,4.85
76,a,,,4.0,688,199,0,0,0,0,0.2,403,150,0,0,0.0,498,189,0,0,0.0,477,182,0.0,0.0,0,2482,140,6871,317,0.5,-0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,492,192,0.0,475,190,0.0,438,174,0.0,494,192,,,,6,,Owen,Bevan,Bevan,,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0.0,0.0,0.0,0.0,0.0
77,a,,,4.0,660,182,0,0,0,0,0.9,187,69,10,1,2.0,229,87,0,31,2.7,141,57,0.7,2.5,0,58783,3940,38549,2914,3.2,2.2,0.12,0.03,0.15,0.98,0.05,0.01,0.06,0.45,24.2,274,107,3.0,328,114,41.0,99,13,6.9,249,82,,,,6,,James,Hill,Hill,,,198,0,0,1,2,0,0,0,1,0,0,1,14,,,,0.0,0.45,0.91,0.45,6.36
78,a,100.0,100.0,4.0,647,175,0,0,0,0,0.9,189,71,0,0,0.0,464,172,0,0,0.0,442,164,0.0,0.0,0,18571,758,61141,2765,0.5,-0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,458,175,0.0,441,173,0.0,403,156,0.0,460,175,,,,6,,Julián,Araujo Zúñiga,J.Araujo,,2025-08-28T17:00:07.495624+00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0.0,0.0,0.0,0.0,0.0
79,u,0.0,0.0,4.0,638,170,0,0,0,0,0.1,452,172,0,0,0.0,457,169,0,0,0.0,435,161,0.0,0.0,0,1400,0,10869,503,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,451,172,0.0,434,170,0.0,396,153,0.0,453,172,,,,6,,Chris,Mepham,Mepham,has joined West Bromwich Albion permanently.,2025-09-02T12:54:34.562307+00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0.0,0.0,0.0,0.0,0.0
81,a,100.0,100.0,7.0,34,20,0,0,0,0,0.7,199,68,4,1,1.0,393,193,0,12,1.0,287,141,0.1,0.6,0,41778,4285,70998,3892,1.5,0.5,0.31,0.33,0.64,0.18,0.39,0.42,0.81,0.23,12.8,320,150,32.8,143,95,24.0,174,101,6.9,251,126,3.0,,1.0,6,,Justin,Kluivert,Kluivert,,2025-08-10T22:00:04.480285+00:00,71,0,0,0,0,0,0,0,0,0,0,0,6,,,,0.0,0.0,0.0,0.0,7.61
82,a,,,7.7,21,14,1,-1,7,-7,46.8,3,2,41,5,8.2,3,1,6,105,6.7,10,3,0.9,5.3,2,4776448,304219,436606,22474,7.2,6.2,2.78,0.26,3.04,3.62,0.56,0.05,0.61,0.72,170.2,4,2,99.3,32,27,140.0,7,4,41.0,4,3,,,3.0,6,,Antoine,Semenyo,Semenyo,,,450,3,2,3,5,0,0,0,1,0,0,5,42,,,,0.0,0.6,1.0,1.0,8.4
84,a,,,5.5,144,89,0,0,0,0,1.7,142,50,23,3,4.6,67,26,3,69,2.7,152,64,0.5,4.2,1,225236,7296,101939,9627,3.2,2.2,0.92,0.46,1.38,3.5,0.2,0.1,0.3,0.78,85.0,89,28,63.9,71,52,93.0,26,13,24.3,43,28,1.0,1.0,,6,,Marcus,Tavernier,Tavernier,,,406,1,0,3,5,0,0,0,0,0,0,5,44,,,,0.0,0.67,1.11,1.11,9.75
68,a,,,4.0,650,63,0,0,0,0,1.1,177,25,0,0,0.0,466,50,0,0,0.0,445,49,0.0,0.0,0,30694,2065,28078,2061,0.5,-0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,460,50,0.0,443,33,0.0,405,26,0.0,462,50,,,,6,,Will,Dennis,Dennis,,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0.0,0.0,0.0,0.0,0.0
85,a,,,5.0,257,155,0,0,0,0,0.4,277,95,14,3,2.8,177,74,0,76,2.7,148,61,0.5,2.8,0,26940,1949,22378,1635,3.2,2.2,0.1,0.14,0.24,3.46,0.02,0.03,0.05,0.7,80.6,105,34,26.1,177,116,45.0,86,53,15.2,110,61,,4.0,,6,,Tyler,Adams,Adams,,,447,0,0,3,4,0,0,0,3,0,0,5,62,,,,0.0,0.6,0.81,1.01,12.48
86,a,,,5.0,248,151,0,0,0,0,0.4,272,94,15,3,3.0,160,66,1,66,2.7,147,60,0.5,3.0,0,48457,2220,26268,2043,3.2,2.2,0.79,1.24,2.03,3.03,0.21,0.33,0.54,0.8,57.8,144,54,107.3,24,21,82.0,34,19,24.3,42,27,5.0,,,6,,David,Brooks,Brooks,,,340,0,1,3,3,0,0,0,2,0,0,5,28,,,,0.0,0.79,0.79,1.32,7.41
87,a,100.0,100.0,5.0,249,152,0,0,0,0,0.1,534,193,3,1,1.0,358,171,0,17,0.7,312,159,0.1,0.6,0,1913,239,5939,238,1.2,0.2,0.07,0.04,0.11,0.24,0.08,0.05,0.13,0.28,18.0,297,137,18.9,218,136,11.0,242,133,4.9,296,149,4.0,,,6,,Ryan,Christie,Christie,,2025-09-13T21:30:07.956994+00:00,78,0,0,0,0,0,0,0,0,0,0,0,16,,,,0.0,0.0,0.0,0.0,18.46
88,a,100.0,100.0,4.9,315,195,0,0,-1,1,0.0,661,281,1,0,1.0,349,164,0,2,0.3,355,173,0.1,0.2,0,1134,228,1112,144,0.8,-0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,384,181,0.1,374,191,0.0,627,266,0.2,399,190,2.0,,,6,,Lewis,Cook,Cook,,2025-07-21T10:00:04.780951+00:00,4,0,0,0,0,0,0,0,0,0,0,0,1,,,,0.0,0.0,0.0,0.0,22.5
89,u,0.0,0.0,4.9,319,198,0,0,-1,1,0.0,619,254,0,0,0.0,662,276,0,0,0.0,651,269,0.0,0.0,0,598,0,5536,123,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,658,273,0.0,651,274,0.0,629,268,0.0,659,274,,,,6,,Philip,Billing,Philip,Has joined Midtjylland permanently.,2025-08-27T12:49:57.472718+00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0.0,0.0,0.0,0.0,0.0
74,a,,,4.5,451,101,0,0,0,0,1.4,158,58,24,9,4.8,60,27,4,82,6.0,15,6,1.3,5.3,0,139332,24224,56792,3941,6.5,5.5,0.01,0.38,0.39,3.62,0.0,0.08,0.08,0.72,82.8,96,44,92.0,37,7,9.0,256,82,18.3,81,23,,,,6,,Adrien,Truffert,Truffert,,,450,0,0,3,5,0,0,0,0,0,0,5,28,,,,0.0,0.6,1.0,1.0,5.6
75,a,,,4.0,693,203,0,0,0,0,0.3,316,113,0,0,0.0,501,191,0,0,0.0,481,185,0.0,0.0,0,7212,413,12988,719,0.5,-0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,495,194,0.0,478,192,0.0,442,177,0.0,497,194,,,,6,,Matai,Akinmboni,Akinmboni,,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0.0,0.0,0.0,0.0,0.0
80,a,,,4.0,705,211,0,0,0,0,0.3,331,116,1,0,1.0,323,116,0,2,0.3,343,117,0.1,0.2,0,5652,414,11043,621,0.8,-0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,507,202,0.0,490,200,0.0,454,185,0.0,509,202,,,,6,,Julio,Soler Barreto,Soler,,,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,0.0,0.0,0.0,0.0,0.0
