id,first_name,second_name,web_name,status,news,news_added,now_cost,now_cost_rank,now_cost_rank_type,selected_by_percent,selected_rank,selected_rank_type,form,form_rank,form_rank_type,event_points,cost_change_event,cost_change_event_fall,cost_change_start,cost_change_start_fall,transfers_in_event,transfers_out_event,value_form,value_season,ep_next,ep_this,points_per_game,points_per_game_rank,points_per_game_rank_type,chance_of_playing_next_round,chance_of_playing_this_round,influence_rank,influence_rank_type,creativity_rank,creativity_rank_type,threat_rank,threat_rank_type,ict_index_rank,ict_index_rank_type,corners_and_indirect_freekicks_order,direct_freekicks_order,penalties_order,set_piece_threat,corners_and_indirect_freekicks_text,direct_freekicks_text,penalties_text,expected_goals_per_90,expected_assists_per_90,expected_goal_involvements_per_90,expected_goals_conceded_per_90,saves_per_90,clean_sheets_per_90,goals_conceded_per_90,starts_per_90,defensive_contribution_per_90,gw,total_points,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,starts,bonus,bps,transfers_in,transfers_out,dreamteam_count,expected_goals,expected_assists,expected_goal_involvements,expected_goals_conceded,influence,creativity,threat,ict_index,tackles,clearances_blocks_interceptions,recoveries,defensive_contribution
1,David,Raya Martín,Raya,a,,,5.9,94,1.0,32.3,8,2.0,3.2,103.0,9.0,0,0,0.0,4,-4.0,3913,3234,0.5,9.0,4.2,4.2,4.8,36.0,2.0,,,125.0,16.0,351.0,3.0,740.0,87.0,263.0,16.0,,,,,,,,0.0,0.0,0.0,0.56,1.45,0.64,0.45,1.0,0.0,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14624.0,10734.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,Kepa,Arrizabalaga Revuelta,Arrizabalaga,a,,,4.2,608,38.0,0.4,247,34.0,0.0,497.0,70.0,0,0,0.0,-3,3.0,30,100,0.0,0.0,1.0,1.0,0.0,561.0,76.0,,,557.0,77.0,543.0,64.0,510.0,50.0,557.0,77.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66.0,246.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,Karl,Hein,Hein,u,Has joined Werder Bremen on loan for the rest of the season.,,4.0,650,59.0,0.3,325,47.0,0.0,459.0,58.0,0,0,0.0,0,0.0,0,56,0.0,0.0,0.0,0.0,0.0,527.0,64.0,0.0,0.0,522.0,65.0,508.0,52.0,474.0,38.0,522.0,65.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,138.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,Tommy,Setford,Setford,a,,,4.0,672,67.0,0.2,361,54.0,0.0,477.0,66.0,0,0,0.0,0,0.0,24,40,0.0,0.0,1.0,1.0,0.0,543.0,72.0,,,538.0,73.0,524.0,60.0,491.0,46.0,538.0,73.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63.0,96.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,Gabriel,dos Santos Magalhães,Gabriel,i,Thigh injury - Unknown return date,,6.5,56,1.0,29.5,11,4.0,5.5,25.0,9.0,0,0,0.0,5,-5.0,694,148353,0.8,12.5,0.0,0.0,7.4,2.0,1.0,0.0,0.0,10.0,4.0,186.0,46.0,118.0,17.0,61.0,15.0,,,,,,,,0.07,0.06,0.13,0.56,0.0,0.64,0.45,1.0,9.09,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1076.0,499347.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,William,Saliba,Saliba,a,,,6.0,89,5.0,12.6,34,11.0,2.0,187.0,62.0,0,0,0.0,0,0.0,13939,1433,0.3,6.5,3.0,3.0,3.9,86.0,35.0,100.0,100.0,114.0,51.0,260.0,79.0,300.0,93.0,225.0,73.0,,,,,,,,0.04,0.03,0.07,0.58,0.0,0.62,0.37,1.12,7.09,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38525.0,3815.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,Riccardo,Calafiori,Calafiori,d,Hip injury - 75% chance of playing,,5.8,111,8.0,14.8,27,10.0,3.2,101.0,34.0,0,0,0.0,3,-3.0,2102,14162,0.6,10.5,3.2,3.2,5.5,15.0,11.0,75.0,75.0,137.0,60.0,133.0,29.0,42.0,3.0,81.0,21.0,,,,,,,,0.24,0.03,0.27,0.5,0.0,0.74,0.53,1.16,4.94,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6035.0,47525.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,Jurriën,Timber,J.Timber,a,,,6.3,75,2.0,29.5,10,3.0,3.2,104.0,35.0,0,1,-1.0,8,-8.0,47656,2967,0.5,10.6,4.2,4.2,6.1,6.0,4.0,,,60.0,26.0,48.0,10.0,30.0,1.0,26.0,1.0,,,,,,,,0.21,0.07,0.28,0.52,0.0,0.61,0.51,1.02,6.23,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,153058.0,10254.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,Jakub,Kiwior,Kiwior,u,has joined Porto on loan for the rest of the season.,,5.4,173,20.0,0.1,564,203.0,0.0,714.0,246.0,0,0,0.0,-1,1.0,0,9,0.0,0.0,0.0,0.0,0.0,732.0,249.0,0.0,0.0,732.0,249.0,731.0,249.0,726.0,247.0,732.0,249.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,Myles,Lewis-Skelly,Lewis-Skelly,a,,,5.1,234,35.0,1.6,140,55.0,0.5,319.0,105.0,0,0,0.0,-4,4.0,216,335,0.1,1.2,1.5,1.5,0.9,437.0,146.0,,,397.0,146.0,366.0,125.0,367.0,132.0,408.0,143.0,,,,,,,,0.0,0.0,0.0,1.04,0.0,0.0,0.0,0.0,5.23,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,581.0,892.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
