id,status,chance_of_playing_next_round,chance_of_playing_this_round,now_cost,now_cost_rank,now_cost_rank_type,cost_change_event,cost_change_event_fall,cost_change_start,cost_change_start_fall,selected_by_percent,selected_rank,selected_rank_type,total_points,event_points,points_per_game,points_per_game_rank,points_per_game_rank_type,bonus,bps,form,form_rank,form_rank_type,value_form,value_season,dreamteam_count,transfers_in,transfers_in_event,transfers_out,transfers_out_event,ep_next,ep_this,expected_goals,expected_assists,expected_goal_involvements,expected_goals_conceded,expected_goals_per_90,expected_assists_per_90,expected_goal_involvements_per_90,expected_goals_conceded_per_90,influence,influence_rank,influence_rank_type,creativity,creativity_rank,creativity_rank_type,threat,threat_rank,threat_rank_type,ict_index,ict_index_rank,ict_index_rank_type,corners_and_indirect_freekicks_order,direct_freekicks_order,penalties_order,gw,set_piece_threat,first_name,second_name,web_name,news,news_added,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,starts,defensive_contribution,corners_and_indirect_freekicks_text,direct_freekicks_text,penalties_text,saves_per_90,clean_sheets_per_90,goals_conceded_per_90,starts_per_90,defensive_contribution_per_90
547,a,100.0,75.0,4.9,355,220,0,0,-1,1,0.4,263,90,15,2,3.8,101,37,2,55,4.3,64,23,0.9,3.1,1,45512,4459,40863,4866,3.8,2.8,0.83,0.08,0.91,2.55,0.35,0.03,0.38,1.09,79.2,108,35,41.4,116,78,21.0,184,108,14.2,125,68,2.0,2.0,,6,,Enzo,Le Fée,E.Le Fée,,2025-09-13T21:30:08.34957+00:00,211,1,0,0,3,0,0,0,0,0,0,2,31,,,,0.0,0.0,1.28,0.85,13.22
552,a,,,5.0,302,186,0,0,0,0,0.0,576,220,11,1,2.2,220,100,0,49,2.0,190,84,0.4,2.2,0,2268,294,2791,333,1.5,1.5,0.02,0.29,0.31,4.76,0.0,0.06,0.06,0.97,45.8,181,74,61.0,75,56,10.0,250,137,11.8,159,83,,,,6,,Noah,Sadiki,Sadiki,,,443,0,0,2,4,0,0,0,1,0,0,5,29,,,,0.0,0.41,0.81,1.02,5.89
555,u,0.0,0.0,4.5,403,244,0,0,0,0,0.1,568,213,0,0,0.0,588,226,0,0,0.0,567,211,0.0,0.0,0,1291,0,7173,523,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,582,219,0.0,570,221,0.0,542,210,0.0,584,220,,,,6,,Alan,Browne,Browne,has joined Middlesbrough on loan for the rest of the season.,2025-09-02T13:31:41.354124+00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0.0,0.0,0.0,0.0,0.0
556,u,0.0,0.0,4.5,433,253,0,0,0,0,0.0,703,304,0,0,0.0,602,234,0,0,0.0,582,220,0.0,0.0,0,0,0,1425,54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,596,227,0.0,588,229,0.0,562,219,0.0,598,228,,,,6,,Pierre,Ekwah Elimby,Ekwah,Has joined AS Saint-Etienne permanently.,2025-08-14T14:03:00.702056+00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0.0,0.0,0.0,0.0,0.0
557,a,,,4.4,580,319,0,0,-1,1,0.1,555,204,0,0,0.0,568,215,0,0,0.0,546,200,0.0,0.0,0,2153,380,3793,388,-0.5,-0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,562,208,0.0,548,210,0.0,518,199,0.0,564,209,,,,6,,Harrison,Jones,H.Jones,,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0.0,0.0,0.0,0.0,0.0
558,a,,,4.4,561,310,0,0,-1,1,0.2,341,114,0,0,0.0,552,206,0,0,0.0,530,191,0.0,0.0,0,11283,1644,15810,1774,-0.5,-0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,546,199,0.0,531,201,0.0,501,190,0.0,548,200,,,,6,,Jay,Matete,Matete,,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0.0,0.0,0.0,0.0,0.0
561,a,,,5.5,170,41,0,0,0,0,1.2,171,27,13,1,3.2,144,14,2,46,1.0,273,24,0.2,2.4,0,242682,1161,199299,19336,0.5,0.5,0.39,0.0,0.39,1.88,0.17,0.0,0.17,0.8,46.4,177,15,13.1,254,24,45.0,90,24,10.3,181,20,,,1.0,6,,Eliezer,Mayenda Dossou,Mayenda,,,211,1,0,2,1,0,0,0,0,0,0,3,6,,,,0.0,0.85,0.43,1.28,2.56
563,u,0.0,,4.4,583,76,0,0,-1,1,0.2,396,59,0,0,0.0,569,55,0,0,0.0,547,51,0.0,0.0,0,5979,694,11934,1740,0.0,-0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,563,53,0.0,549,53,0.0,520,51,0.0,565,54,,,,6,,Luís Hemir,Silva Semedo,Luís Hemir,has joined Moreirense on loan for the rest of the season.,2025-09-22T21:17:57.534387+00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0.0,0.0,0.0,0.0,0.0
564,u,0.0,0.0,4.4,545,70,0,0,-1,1,0.1,426,62,0,0,0.0,544,49,0,0,0.0,520,45,0.0,0.0,0,3530,0,14433,999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,538,47,0.0,523,47,0.0,490,45,0.0,540,48,,,,6,,Nazarii,Rusyn,Rusyn,has joined Arka on loan for the rest of the season.,2025-09-05T08:56:38.449926+00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0.0,0.0,0.0,0.0,0.0
694,a,,,4.0,629,164,0,0,0,0,1.2,172,63,18,4,6.0,18,10,2,65,6.0,22,9,1.5,4.5,1,131808,65229,27604,10074,5.5,5.5,0.14,0.23,0.37,3.68,0.05,0.08,0.13,1.23,86.8,83,38,42.1,113,27,18.0,204,50,14.7,113,36,,,,6,,Nordi,Mukiele,Mukiele,,,270,0,0,1,2,0,0,0,0,0,0,3,42,,,,0.0,0.33,0.67,1.0,14.0
