player_id,match_id,minutes_played,goals,assists,total_shots,xg,xa,shots_on_target,successful_dribbles,big_chances_missed,touches_opposition_box,touches,accurate_passes,accurate_passes_percent,chances_created,final_third_passes,accurate_crosses,accurate_crosses_percent,accurate_long_balls,accurate_long_balls_percent,tackles_won,interceptions,recoveries,blocks,clearances,headed_clearances,dribbled_past,duels_won,duels_lost,ground_duels_won,ground_duels_won_percent,aerial_duels_won,aerial_duels_won_percent,was_fouled,fouls_committed,saves,goals_conceded,xgot_faced,goals_prevented,sweeper_actions,gk_accurate_passes,gk_accurate_long_balls,dispossessed,high_claim,corners,saves_inside_box,offsides,successful_dribbles_percent,tackles_won_percent,xgot,tackles,start_min,finish_min,team_goals_conceded,penalties_scored,penalties_missed,top_speed,distance_covered,walking_distance,running_distance,sprinting_distance,number_of_sprints,defensive_contributions
182,25-26-efl-cup-manchester-city-vs-huddersfield-town,90,0,0,0,0.0,0.0,0,0,0,0,23,22,0.0,0.0,0,0,0.0,1,0.0,0,0,4,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0.0,0.0,1,22,1,,0,0,0,0,0.0,0.0,0.0,0,0,90,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
411,25-26-efl-cup-manchester-city-vs-huddersfield-town,76,0,0,1,0.39,0.24,1,0,1,4,71,57,0.0,1.0,3,1,0.0,0,0.0,0,0,1,0,0,0,0,0,3,0,0.0,0,0.0,0,1,0,0,0.0,0.0,0,0,0,,0,0,0,0,0.0,0.0,0.28,0,0,76,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
427,25-26-efl-cup-manchester-city-vs-huddersfield-town,13,0,0,0,0.0,0.1,0,0,0,1,8,7,0.0,1.0,1,0,0.0,2,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0.0,0.0,0,0,0,,0,0,0,0,0.0,0.0,0.0,0,77,90,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
580,25-26-efl-cup-doncaster-rovers-vs-tottenham-hotspur,90,1,0,1,0.64,0.17,1,2,0,5,36,17,0.0,0.0,2,0,0.0,1,0.0,0,0,3,0,1,0,0,2,3,2,0.0,0,0.0,0,1,0,0,0.0,0.0,0,0,0,,0,0,0,0,0.0,0.0,0.57,0,0,94,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
198,25-26-efl-cup-cardiff-city-vs-burnley,90,0,0,0,0.0,0.01,0,0,0,0,61,45,0.0,0.0,3,0,0.0,3,0.0,0,1,4,1,5,1,0,1,4,1,0.0,0,0.0,0,2,0,0,0.0,0.0,0,0,0,,0,0,0,0,0.0,0.0,0.0,1,0,90,2,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
627,25-26-efl-cup-everton-vs-wolverhampton-wanderers,90,0,0,0,0.0,0.0,0,0,0,0,47,23,0.0,0.0,6,0,0.0,8,0.0,0,0,8,0,0,0,0,2,0,1,0.0,1,0.0,1,0,4,0,1.18,1.18,1,23,8,,0,0,0,0,0.0,0.0,0.0,0,0,93,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
648,25-26-efl-cup-everton-vs-wolverhampton-wanderers,81,1,0,2,0.29,0.01,1,0,0,2,36,7,0.0,1.0,1,1,0.0,0,0.0,0,2,2,0,4,2,2,10,8,5,0.0,5,0.0,2,2,0,0,0.0,0.0,0,0,0,,0,0,0,0,0.0,0.0,0.59,3,0,81,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
199,25-26-efl-cup-cardiff-city-vs-burnley,90,0,0,0,0.0,0.05,0,0,0,0,62,50,0.0,0.0,2,0,0.0,0,0.0,0,0,4,1,3,1,0,2,4,0,0.0,2,0.0,0,1,0,0,0.0,0.0,0,0,0,,0,0,0,0,0.0,0.0,0.0,0,0,90,2,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
385,25-26-efl-cup-southampton-vs-liverpool,90,0,2,4,0.2,0.8,1,2,0,13,56,24,0.0,4.0,2,1,0.0,0,0.0,0,2,3,1,0,0,1,5,4,5,0.0,0,0.0,2,1,0,0,0.0,0.0,0,0,0,,0,0,0,0,0.0,0.0,0.09,1,0,92,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
396,25-26-efl-cup-southampton-vs-liverpool,90,0,0,1,0.05,0.02,0,0,0,0,59,44,0.0,0.0,2,0,0.0,0,0.0,0,2,5,1,3,1,0,2,2,1,0.0,1,0.0,0,1,0,0,0.0,0.0,0,0,0,,0,0,0,0,0.0,0.0,0.0,1,0,92,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
372,25-26-efl-cup-southampton-vs-liverpool,90,0,0,0,0.0,0.35,0,0,0,1,99,81,0.0,0.0,14,0,0.0,3,0.0,0,1,4,0,1,0,1,1,1,1,0.0,0,0.0,0,0,0,0,0.0,0.0,0,0,0,,0,0,0,0,0.0,0.0,0.0,1,0,92,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
148,25-26-efl-cup-brighton-hove-albion-vs-barnsley,45,0,0,0,0.0,0.0,0,0,0,0,22,13,0.0,0.0,1,0,0.0,0,0.0,0,0,2,0,1,1,1,2,5,2,0.0,0,0.0,1,3,0,0,0.0,0.0,0,0,0,,0,0,0,0,0.0,0.0,0.0,1,0,46,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
181,25-26-efl-cup-brighton-hove-albion-vs-barnsley,25,0,0,0,0.0,0.01,0,0,0,1,13,7,0.0,0.0,1,0,0.0,0,0.0,0,0,0,0,0,0,0,3,2,3,0.0,0,0.0,0,0,0,0,0.0,0.0,0,0,0,,0,0,0,0,0.0,0.0,0.0,3,65,90,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
151,25-26-efl-cup-brighton-hove-albion-vs-barnsley,25,0,0,0,0.0,0.01,0,0,0,0,26,22,0.0,0.0,5,0,0.0,2,0.0,0,0,1,0,0,0,0,2,1,2,0.0,0,0.0,1,0,0,0,0.0,0.0,0,0,0,,0,0,0,0,0.0,0.0,0.0,1,65,90,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
663,25-26-efl-cup-everton-vs-wolverhampton-wanderers,81,0,0,1,0.06,0.09,1,3,0,1,53,27,0.0,3.0,4,3,0.0,2,0.0,0,0,7,0,0,0,2,8,7,7,0.0,1,0.0,1,4,0,0,0.0,0.0,0,0,0,,0,0,0,0,0.0,0.0,0.12,3,0,81,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
