id,first_name,second_name,web_name,status,news,news_added,now_cost,now_cost_rank,now_cost_rank_type,selected_by_percent,selected_rank,selected_rank_type,form,form_rank,form_rank_type,event_points,cost_change_event,cost_change_event_fall,cost_change_start,cost_change_start_fall,transfers_in_event,transfers_out_event,value_form,value_season,ep_next,ep_this,points_per_game,points_per_game_rank,points_per_game_rank_type,chance_of_playing_next_round,chance_of_playing_this_round,influence_rank,influence_rank_type,creativity_rank,creativity_rank_type,threat_rank,threat_rank_type,ict_index_rank,ict_index_rank_type,corners_and_indirect_freekicks_order,direct_freekicks_order,penalties_order,set_piece_threat,corners_and_indirect_freekicks_text,direct_freekicks_text,penalties_text,expected_goals_per_90,expected_assists_per_90,expected_goal_involvements_per_90,expected_goals_conceded_per_90,saves_per_90,clean_sheets_per_90,goals_conceded_per_90,starts_per_90,defensive_contribution_per_90,gw,total_points,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,starts,bonus,bps,transfers_in,transfers_out,dreamteam_count,expected_goals,expected_assists,expected_goal_involvements,expected_goals_conceded,influence,creativity,threat,ict_index,tackles,clearances_blocks_interceptions,recoveries,defensive_contribution
690,Rio,Cardines,Cardines,a,,,4.4,544,319.0,0.4,284,99.0,0.0,564.0,207.0,0,0,0.0,-1,1.0,3,103,0.0,0.0,0.0,0.0,0.0,617.0,237.0,100.0,100.0,610.0,233.0,602.0,233.0,581.0,227.0,611.0,233.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,396,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
712,Yéremy,Pino Santos,Yeremy,a,,,5.8,113,73.0,0.2,375,127.0,3.0,104.0,51.0,0,0,0.0,-2,2.0,323,62,0.5,4.0,3.0,3.0,2.3,242.0,109.0,100.0,100.0,223.0,94.0,50.0,39.0,82.0,48.0,106.0,60.0,,,,,,,,0.22,0.23,0.45,1.22,0.0,0.59,0.59,1.18,7.24,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1432,585,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
723,Jaydee,Canvot,Canvot,a,,,4.5,488,99.0,0.0,661,226.0,3.0,95.0,31.0,0,0,0.0,0,0.0,10,10,0.7,2.7,3.0,3.0,4.0,78.0,31.0,,,338.0,124.0,400.0,145.0,335.0,116.0,378.0,129.0,,,,,,,,0.05,0.06,0.11,0.35,0.0,0.92,0.0,0.92,16.53,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
732,Christantus,Uche,Uche,a,,,5.5,150,38.0,0.0,614,77.0,0.0,728.0,74.0,0,0,0.0,0,0.0,16,15,0.0,0.5,0.0,0.0,1.0,431.0,51.0,,,426.0,46.0,405.0,47.0,297.0,46.0,407.0,47.0,,,,,,,,0.11,0.0,0.11,8.21,0.0,0.0,11.25,0.0,22.5,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70,64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
242,Kiernan,Dewsbury-Hall,Dewsbury-Hall,a,,,4.9,307,193.0,3.2,102,34.0,7.8,2.0,1.0,7,0,0.0,-1,1.0,8007,436,1.6,11.2,7.8,7.8,4.6,40.0,17.0,100.0,100.0,73.0,24.0,14.0,14.0,62.0,35.0,23.0,18.0,2.0,,,,,,,0.12,0.23,0.35,1.4,0.0,0.34,1.36,1.02,7.2,13,7,90,1,0,0,4,0,0,0,0,0,0,1,0,31,26030,3359,0.0,0.5199999999999999,0.2599999999999998,0.7799999999999998,1.92,43.20000000000002,18.100000000000023,53.0,11.400000000000006,3,1,6,10
287,Jordan,Pickford,Pickford,a,,,5.5,134,3.0,9.6,42,6.0,5.0,36.0,2.0,1,0,0.0,0,0.0,1947,1611,0.9,9.6,5.0,5.0,4.1,74.0,6.0,,,11.0,3.0,427.0,15.0,734.0,85.0,146.0,3.0,,,,,,,,0.0,0.01,0.01,1.49,2.92,0.31,1.31,1.0,0.0,13,1,90,0,0,0,4,0,0,0,0,0,3,1,0,206,11713,4987,0.0,0.0,0.0,0.0,1.9200000000000017,20.0,0.0,0.0,2.0,0,2,5,0
288,Mark,Travers,Travers,a,,,4.4,503,26.0,0.1,440,69.0,0.0,533.0,80.0,0,0,0.0,-1,1.0,8,12,0.0,0.0,0.0,0.0,0.0,590.0,82.0,,,584.0,82.0,576.0,74.0,552.0,62.0,585.0,82.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
289,Harry,Tyrer,Tyrer,a,,,3.9,710,77.0,0.1,448,71.0,0.0,393.0,33.0,0,0,0.0,-1,1.0,8,11,0.0,0.0,0.0,0.0,0.0,473.0,40.0,,,469.0,40.0,454.0,26.0,421.0,12.0,468.0,40.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55,67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
290,Jarrad,Branthwaite,Branthwaite,i,Hamstring injury - Unknown return date,,5.3,202,28.0,0.2,399,149.0,0.0,709.0,244.0,0,0,0.0,-2,2.0,5,30,0.0,0.0,0.0,0.0,0.0,729.0,247.0,0.0,0.0,729.0,247.0,728.0,247.0,723.0,246.0,729.0,247.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,110,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
291,James,Tarkowski,Tarkowski,a,,,5.4,151,15.0,5.7,69,22.0,4.5,50.0,19.0,3,0,0.0,-1,1.0,939,1495,0.8,10.0,4.5,4.5,4.2,66.0,28.0,,,13.0,6.0,113.0,25.0,141.0,26.0,55.0,11.0,,,,,,,,0.03,0.06,0.09,1.49,0.0,0.31,1.31,1.0,10.38,13,3,90,0,1,0,4,0,0,0,0,0,0,1,0,25,6435,7646,0.0,0.0,0.16000000000000003,0.16000000000000014,1.9200000000000017,39.80000000000001,22.89999999999999,6.0,6.899999999999999,2,5,3,7
