player_id,match_id,minutes_played,goals,assists,total_shots,xg,xa,shots_on_target,successful_dribbles,big_chances_missed,touches_opposition_box,touches,accurate_passes,accurate_passes_percent,chances_created,final_third_passes,accurate_crosses,accurate_crosses_percent,accurate_long_balls,accurate_long_balls_percent,tackles_won,interceptions,recoveries,blocks,clearances,headed_clearances,dribbled_past,duels_won,duels_lost,ground_duels_won,ground_duels_won_percent,aerial_duels_won,aerial_duels_won_percent,was_fouled,fouls_committed,saves,goals_conceded,xgot_faced,goals_prevented,sweeper_actions,gk_accurate_passes,gk_accurate_long_balls,dispossessed,high_claim,corners,saves_inside_box,offsides,successful_dribbles_percent,tackles_won_percent,xgot,tackles,start_min,finish_min,team_goals_conceded,penalties_scored,penalties_missed,top_speed,distance_covered,walking_distance,running_distance,sprinting_distance,number_of_sprints,defensive_contributions
22,25-26-champions-league-atletico-madrid-vs-arsenal,7,0,0,0,0.0,0.05,0,0,0,1,9,5,0.0,1.0,1,0,0.0,0,0.0,0,0,3,0,1,1,0,3,2,1,0.0,2,0.0,1,1,0,0,0.0,0.0,0,0,0,,0,0,0,0,0.0,0.0,0.0,0,83,90,0,0,0,0.017,0.001,0.0002,0.0008,0.0,1.0,0.0
11,25-26-champions-league-atletico-madrid-vs-arsenal,7,0,0,0,0.0,0.0,0,0,0,0,4,3,0.0,0.0,2,0,0.0,1,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0.0,0.0,0,0,0,,0,0,0,0,0.0,0.0,0.0,0,83,90,0,0,0,0.0176,0.0008,0.0002,0.0006,0.0,2.0,0.0
485,25-26-champions-league-benfica-vs-newcastle-united,85,1,1,4,0.69,0.29,1,1,0,8,60,25,0.0,1.0,8,1,0.0,3,0.0,0,1,8,0,0,0,1,7,7,7,0.0,0,0.0,3,1,0,0,0.0,0.0,0,0,0,,0,0,0,0,0.0,0.0,0.97,3,0,85,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
487,25-26-champions-league-benfica-vs-newcastle-united,27,2,0,2,0.41,0.25,2,1,0,3,11,4,0.0,1.0,0,1,0.0,0,0.0,0,0,1,0,0,0,0,1,1,1,0.0,0,0.0,0,1,0,0,0.0,0.0,0,0,0,,0,0,0,0,0.0,0.0,0.56,0,63,90,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
469,25-26-champions-league-benfica-vs-newcastle-united,90,0,1,0,0.0,0.0,0,0,0,0,37,15,0.0,1.0,2,0,0.0,5,0.0,0,0,11,0,4,0,0,1,0,0,0.0,1,0.0,0,0,2,0,0.2,0.2,0,15,5,,1,0,0,0,0.0,0.0,0.0,0,0,90,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
478,25-26-champions-league-benfica-vs-newcastle-united,90,0,0,0,0.0,0.37,0,1,0,1,87,46,0.0,4.0,8,4,0.0,2,0.0,0,0,6,0,3,2,1,5,3,4,0.0,1,0.0,0,1,0,0,0.0,0.0,0,0,0,,0,0,0,0,0.0,0.0,0.0,3,0,90,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
497,25-26-champions-league-benfica-vs-newcastle-united,90,0,0,2,0.53,0.01,0,0,1,3,51,37,0.0,1.0,3,0,0.0,2,0.0,0,2,5,0,0,0,0,4,2,2,0.0,2,0.0,0,1,0,0,0.0,0.0,0,0,0,,0,0,0,0,0.0,0.0,0.0,2,0,90,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
476,25-26-champions-league-benfica-vs-newcastle-united,90,0,0,3,0.06,0.13,2,1,0,4,54,26,0.0,1.0,2,0,0.0,0,0.0,0,0,2,0,5,0,1,9,7,3,0.0,6,0.0,0,3,0,0,0.0,0.0,0,0,0,,0,0,0,0,0.0,0.0,0.23,2,0,90,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
489,25-26-champions-league-benfica-vs-newcastle-united,63,0,1,3,0.08,0.42,2,0,0,4,31,10,0.0,1.0,1,0,0.0,0,0.0,0,1,0,0,3,3,0,0,1,0,0.0,0,0.0,0,0,0,0,0.0,0.0,0,0,0,,0,0,0,0,0.0,0.0,0.12,0,0,63,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
488,25-26-champions-league-benfica-vs-newcastle-united,89,0,0,1,0.23,0.11,1,2,1,7,53,29,0.0,0.0,5,0,0.0,2,0.0,0,2,7,0,0,0,2,4,8,4,0.0,0,0.0,2,3,0,0,0.0,0.0,0,0,0,,0,0,0,0,0.0,0.0,0.73,0,0,90,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
