id,status,chance_of_playing_next_round,chance_of_playing_this_round,now_cost,now_cost_rank,now_cost_rank_type,cost_change_event,cost_change_event_fall,cost_change_start,cost_change_start_fall,selected_by_percent,selected_rank,selected_rank_type,total_points,event_points,points_per_game,points_per_game_rank,points_per_game_rank_type,bonus,bps,form,form_rank,form_rank_type,value_form,value_season,dreamteam_count,transfers_in,transfers_in_event,transfers_out,transfers_out_event,ep_next,ep_this,expected_goals,expected_assists,expected_goal_involvements,expected_goals_conceded,expected_goals_per_90,expected_assists_per_90,expected_goal_involvements_per_90,expected_goals_conceded_per_90,influence,influence_rank,influence_rank_type,creativity,creativity_rank,creativity_rank_type,threat,threat_rank,threat_rank_type,ict_index,ict_index_rank,ict_index_rank_type,corners_and_indirect_freekicks_order,direct_freekicks_order,penalties_order,gw,set_piece_threat,first_name,second_name,web_name,news,news_added,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,starts,defensive_contribution,corners_and_indirect_freekicks_text,direct_freekicks_text,penalties_text,saves_per_90,clean_sheets_per_90,goals_conceded_per_90,starts_per_90,defensive_contribution_per_90,tackles,clearances_blocks_interceptions,recoveries
543,a,,,5.2,232,146,0,0,-3,3,0.6,221,72,13,0,2.2,242,112,0,0,0.5,312,149,0.1,2.5,0,74623,77,185099,333,0.0,-0.5,0.14,0.25,0.39,3.03,0.05,0.08,0.13,1.01,0.0,314,145,0.0,98,71,0.0,306,162,0.0,260,131,,,,9,,Simon,Adingra,Adingra,,,271,0,1,2,4,0,0,0,1,0,0,4,16,,,,0.0,0.66,1.33,1.33,5.31,0.0,0.0,0.0
544,i,0.0,0.0,5.4,193,121,0,0,-1,1,0.0,580,220,12,0,3.0,168,70,0,0,0.0,713,311,0.0,2.2,0,6060,1,14593,21,0.0,0.0,0.5,0.08,0.58,3.87,0.13,0.02,0.15,1.01,0.0,373,172,0.0,226,140,0.0,160,93,0.0,307,152,,,,9,,Habib,Diarra,Diarra,Groin Injury - Expected back 03 Dec,2025-09-21T22:30:06.402407+00:00,345,0,1,2,2,0,0,0,1,0,0,4,15,,,,0.0,0.52,0.52,1.04,3.91,0.0,0.0,0.0
545,u,0.0,0.0,5.4,164,102,0,0,-1,1,0.0,674,287,1,0,1.0,399,193,0,0,0.0,700,304,0.0,0.2,0,462,0,3831,5,0.0,0.0,0.03,0.02,0.05,0.66,0.1,0.07,0.17,2.2,0.0,416,196,0.0,337,179,0.0,332,175,0.0,397,187,4.0,,2.0,9,,Patrick,Roberts,Roberts,has joined Birmingham City on loan for the rest of the season.,2025-09-02T13:33:32.438579+00:00,27,0,0,0,1,0,0,0,0,0,0,0,1,,,,0.0,0.0,3.33,0.0,3.33,0.0,0.0,0.0
546,u,0.0,0.0,4.9,352,221,0,0,-1,1,0.0,663,280,0,0,0.0,697,299,0,0,0.0,673,285,0.0,0.0,0,295,0,3096,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,695,299,0.0,690,299,0.0,679,294,0.0,698,300,,,,9,,Milan,Aleksić,Aleksić,has joined Cracovia on loan for the rest of the season.,2025-09-08T09:11:30.805435+00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
547,a,100.0,100.0,4.9,340,211,0,0,-1,1,0.4,269,93,26,1,3.2,137,54,0,7,2.8,92,42,0.6,5.3,1,57987,94,56527,118,2.3,1.8,0.86,0.28,1.14,7.16,0.14,0.05,0.19,1.2,0.0,121,39,0.0,103,74,0.0,216,124,0.0,141,74,2.0,2.0,,9,,Enzo,Le Fée,E.Le Fée,,2025-09-13T21:30:08.34957+00:00,539,1,0,2,6,0,0,0,1,0,0,6,65,,,,0.0,0.33,1.0,1.0,10.85,2.0,2.0,4.0
548,i,0.0,0.0,4.9,331,206,0,0,-1,1,0.0,726,319,0,0,0.0,692,296,0,0,0.0,668,282,0.0,0.0,0,154,0,721,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,690,296,0.0,685,296,0.0,673,290,0.0,693,297,3.0,3.0,,9,,Romaine,Mundle,Mundle,Hamstring injury - Expected back 22 Nov,2025-08-10T23:30:07.214806+00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
549,a,,,4.8,367,229,0,0,-2,2,0.0,621,253,2,0,1.0,377,178,0,0,0.2,347,160,0.0,0.4,0,808,7,2663,14,-0.3,-0.8,0.0,0.0,0.0,0.2,0.0,0.0,0.0,9.0,0.0,414,195,0.0,668,285,0.0,650,277,0.0,423,200,,,,9,,Dan,Neil,Neil,,,2,0,0,0,0,0,0,0,0,0,0,0,2,,,,0.0,0.0,0.0,0.0,90.0,0.0,0.0,0.0
550,a,,,4.8,365,228,0,0,-2,2,0.0,647,269,0,0,0.0,674,285,0,0,0.0,643,267,0.0,0.0,0,370,4,1769,9,-0.5,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,672,285,0.0,666,284,0.0,648,276,0.0,675,286,,,,9,,Ian,Poveda-Ocampo,Poveda,,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
551,a,,,4.8,378,238,0,0,-2,2,0.0,573,213,8,1,1.3,333,159,0,4,1.2,210,102,0.3,1.7,0,2659,17,4957,23,0.7,0.2,0.12,0.06,0.18,1.29,0.06,0.03,0.09,0.62,0.0,385,178,0.0,249,150,0.0,313,166,0.0,356,173,,,,9,,Chris,Rigg,Rigg,,,186,0,0,1,0,0,0,0,0,0,0,3,12,,,,0.0,0.48,0.0,1.45,5.81,0.0,1.0,1.0
552,a,100.0,100.0,5.0,289,180,0,0,0,0,0.0,574,214,19,2,2.1,254,118,0,16,2.0,146,72,0.4,3.8,0,3532,19,4518,18,1.5,1.0,0.08,0.35,0.43,9.98,0.01,0.04,0.05,1.12,0.0,210,89,0.0,106,77,0.0,267,148,0.0,208,109,,,,9,,Noah,Sadiki,Sadiki,,2025-10-14T21:30:07.514008+00:00,803,0,0,4,7,0,0,0,3,0,0,9,64,,,,0.0,0.45,0.78,1.01,7.17,2.0,5.0,4.0
553,a,,,5.0,285,177,0,0,0,0,0.2,350,120,30,6,3.3,126,50,0,26,3.5,56,24,0.7,6.0,0,37567,32,39662,95,3.0,2.5,1.01,0.29,1.29,6.94,0.16,0.05,0.21,1.13,0.0,260,115,0.0,85,61,0.0,118,71,0.0,166,85,,,,9,,Chemsdine,Talbi,Talbi,,,553,1,2,4,2,0,0,0,0,0,0,6,32,,,,0.0,0.65,0.33,0.98,5.21,0.0,0.0,1.0
554,a,,,4.4,532,302,0,0,-1,1,0.2,369,125,0,0,0.0,574,213,0,0,0.0,534,189,0.0,0.0,0,12899,22,22620,77,-0.5,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,566,209,0.0,556,209,0.0,530,199,0.0,569,210,,,,9,,Abdoullah,Ba,Ba,,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
555,u,0.0,0.0,4.5,401,244,0,0,0,0,0.0,594,233,0,0,0.0,613,239,0,0,0.0,575,216,0.0,0.0,0,1291,0,8621,16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,605,235,0.0,596,235,0.0,573,225,0.0,608,236,,,,9,,Alan,Browne,Browne,has joined Middlesbrough on loan for the rest of the season.,2025-09-02T13:31:41.354124+00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
556,u,0.0,0.0,4.5,428,252,0,0,0,0,0.0,711,310,0,0,0.0,624,246,0,0,0.0,587,224,0.0,0.0,0,0,0,1611,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,617,242,0.0,610,242,0.0,590,233,0.0,620,243,,,,9,,Pierre,Ekwah Elimby,Ekwah,Has joined AS Saint-Etienne permanently.,2025-08-14T14:03:00.702056+00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
557,a,,,4.4,561,316,0,0,-1,1,0.1,545,199,0,0,0.0,592,225,0,0,0.0,553,201,0.0,0.0,0,3456,14,5430,19,-0.5,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,584,221,0.0,575,221,0.0,551,211,0.0,587,222,,,,9,,Harrison,Jones,H.Jones,,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
558,a,,,4.4,541,306,0,0,-1,1,0.2,340,116,0,0,0.0,577,215,0,0,0.0,537,191,0.0,0.0,0,16909,72,22935,86,-0.5,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,569,211,0.0,559,211,0.0,534,201,0.0,572,212,,,,9,,Jay,Matete,Matete,,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
559,u,0.0,0.0,4.4,546,309,0,0,-1,1,0.0,581,221,0,0,0.0,581,218,0,0,0.0,541,194,0.0,0.0,0,2951,0,6878,22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,573,214,0.0,563,214,0.0,538,204,0.0,576,215,,,,9,,Nectarios,Triantis,Triantis,has joined Minnesota United permanently.,2025-09-22T21:19:57.15751+00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
560,a,,,5.6,132,33,0,0,1,-1,2.9,105,17,36,6,4.0,82,10,0,26,2.8,97,10,0.5,6.4,2,566883,2108,266219,2409,2.3,1.8,1.8,0.03,1.83,7.45,0.31,0.01,0.32,1.27,0.0,132,11,0.0,343,37,0.0,30,13,0.0,112,16,,,3.0,9,,Wilson,Isidor,Isidor,,,526,4,0,3,6,0,0,0,0,0,0,6,16,,,,0.0,0.51,1.03,1.03,2.74,0.0,1.0,0.0
561,a,,,5.5,158,39,0,0,0,0,0.8,195,31,15,0,2.5,214,20,0,0,0.5,320,36,0.1,2.7,0,249130,79,256788,578,0.0,-0.5,0.47,0.06,0.53,2.81,0.16,0.02,0.18,0.98,0.0,261,22,0.0,253,23,0.0,140,30,0.0,248,25,,,1.0,9,,Eliezer,Mayenda Dossou,Mayenda,,,257,1,0,2,1,0,0,0,0,0,0,3,7,,,,0.0,0.7,0.35,1.05,2.45,0.0,0.0,0.0
562,a,,,4.4,577,79,0,0,-1,1,0.4,276,44,0,0,0.0,605,65,0,0,0.0,566,59,0.0,0.0,0,21102,71,47653,163,-0.5,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,597,62,0.0,588,62,0.0,564,61,0.0,600,64,,,,9,,Ahmed,Abdullahi,Abdullahi,,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
563,u,0.0,0.0,4.4,564,74,0,0,-1,1,0.1,447,61,0,0,0.0,594,61,0,0,0.0,555,55,0.0,0.0,0,5979,0,16977,39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,586,58,0.0,577,58,0.0,553,57,0.0,589,60,,,,9,,Luís Hemir,Silva Semedo,Luís Hemir,has joined Moreirense on loan for the rest of the season.,2025-09-22T21:17:57.534387+00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
564,u,0.0,0.0,4.4,523,68,0,0,-1,1,0.1,455,63,0,0,0.0,569,55,0,0,0.0,527,49,0.0,0.0,0,3530,0,17451,38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,561,52,0.0,550,52,0.0,523,51,0.0,564,54,,,,9,,Nazarii,Rusyn,Rusyn,has joined Arka on loan for the rest of the season.,2025-09-05T08:56:38.449926+00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
668,a,,,5.1,234,147,0,0,1,-1,4.7,77,24,39,2,4.3,63,23,0,13,4.8,22,8,0.9,7.6,0,456351,3069,240221,1104,4.3,3.8,0.27,0.8,1.07,10.56,0.03,0.09,0.12,1.17,0.0,24,8,0.0,31,27,0.0,242,135,0.0,38,26,1.0,1.0,,9,,Granit,Xhaka,Xhaka,,,810,0,3,4,7,0,0,0,3,0,0,9,110,,,,0.0,0.44,0.78,1.0,12.22,4.0,3.0,2.0
