id,status,chance_of_playing_next_round,chance_of_playing_this_round,now_cost,now_cost_rank,now_cost_rank_type,cost_change_event,cost_change_event_fall,cost_change_start,cost_change_start_fall,selected_by_percent,selected_rank,selected_rank_type,total_points,event_points,points_per_game,points_per_game_rank,points_per_game_rank_type,bonus,bps,form,form_rank,form_rank_type,value_form,value_season,dreamteam_count,transfers_in,transfers_in_event,transfers_out,transfers_out_event,ep_next,ep_this,expected_goals,expected_assists,expected_goal_involvements,expected_goals_conceded,expected_goals_per_90,expected_assists_per_90,expected_goal_involvements_per_90,expected_goals_conceded_per_90,influence,influence_rank,influence_rank_type,creativity,creativity_rank,creativity_rank_type,threat,threat_rank,threat_rank_type,ict_index,ict_index_rank,ict_index_rank_type,corners_and_indirect_freekicks_order,direct_freekicks_order,penalties_order,gw,set_piece_threat,first_name,second_name,web_name,news,news_added,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,starts,defensive_contribution,corners_and_indirect_freekicks_text,direct_freekicks_text,penalties_text,saves_per_90,clean_sheets_per_90,goals_conceded_per_90,starts_per_90,defensive_contribution_per_90
570,a,,,4.3,599,152,0,0,-2,2,0.2,398,148,3,1,1.0,343,121,0,10,0.5,310,108,0.1,0.7,0,9031,86,17621,248,0.5,1.0,0.0,0.0,0.0,0.24,0.0,0.0,0.0,1.35,8.4,370,137,0.8,371,132,0.0,484,204,0.9,396,139,,,,7,,Kevin,Danso,Danso,,,16,0,0,0,0,0,0,0,0,0,0,0,3,,,,0.0,0.0,0.0,0.0,16.88
367,a,,,4.3,603,38,0,0,-2,2,0.6,213,29,2,2,2.0,249,23,0,16,0.5,311,21,0.1,0.5,0,45351,6443,32330,669,1.5,1.0,0.0,0.0,0.0,0.88,0.0,0.0,0.0,0.88,31.6,279,24,0.0,518,62,0.0,486,51,3.2,356,24,,,,7,,Giorgi,Mamardashvili,Mamardashvili,,,90,0,0,0,2,0,0,0,0,0,4,1,0,,,,4.0,0.0,2.0,1.0,0.0
717,a,,,7.1,32,18,0,0,1,-1,3.4,102,36,10,2,2.5,218,98,0,42,2.5,135,62,0.4,1.4,0,628388,3582,262327,19203,2.5,3.0,0.28,0.55,0.83,3.58,0.1,0.2,0.3,1.29,39.0,253,111,83.1,68,51,29.0,185,109,15.1,167,87,,,,7,,Xavi,Simons,Xavi,,,249,0,1,1,2,0,0,0,1,0,0,3,17,,,,0.0,0.36,0.72,1.08,6.14
726,d,75.0,0.0,6.9,43,16,0,0,-1,1,0.2,395,58,0,0,0.0,739,81,0,0,0.0,735,79,0.0,0.0,0,34999,67,30710,799,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,739,81,0.0,739,81,0.0,739,81,0.0,739,81,,,,7,,Randal,Kolo Muani,Kolo Muani,Dead leg - 75% chance of playing,2025-09-24T06:00:06.307596+00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0.0,0.0,0.0,0.0,0.0
651,a,,,4.4,588,326,0,0,-1,1,0.4,267,92,0,0,0.0,589,226,0,0,0.0,558,206,0.0,0.0,0,27773,188,29534,506,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,585,222,0.0,574,223,0.0,548,211,0.0,586,223,,,,7,,Tom,Edozie,Edozie,,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0.0,0.0,0.0,0.0,0.0
652,a,,,4.4,587,325,0,0,-1,1,1.6,147,52,0,0,0.0,588,225,0,0,0.0,557,205,0.0,0.0,0,108739,974,111911,1977,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,584,221,0.0,573,222,0.0,547,210,0.0,585,222,,,,7,,Enso,González Medina,Gonzalez,,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0.0,0.0,0.0,0.0,0.0
695,a,,,4.5,449,99,0,0,0,0,0.0,664,225,5,0,1.0,355,128,0,13,0.8,277,99,0.2,1.1,0,1615,24,1045,13,1.3,0.8,0.0,0.04,0.04,3.25,0.0,0.01,0.01,1.1,51.6,211,84,55.9,116,24,14.0,259,79,12.1,207,71,,,,7,,Jackson,Tchatchoua,Tchatchoua,,,265,0,0,0,7,0,0,0,0,0,0,2,18,,,,0.0,0.0,2.38,0.68,6.11
709,a,,,4.5,420,90,0,0,0,0,0.0,593,209,10,0,3.3,122,49,0,29,2.5,120,46,0.6,2.2,0,4848,200,1126,40,3.0,2.5,0.74,0.21,0.95,2.9,0.25,0.07,0.32,0.97,77.0,144,62,40.3,161,39,34.0,166,36,15.2,165,54,,,,7,,Ladislav,Krejcí,Krejčí,,,270,1,0,0,5,0,0,0,1,0,0,3,16,,,,0.0,0.0,1.67,1.0,5.33
720,a,,,5.5,156,38,0,0,0,0,0.1,517,70,5,0,1.7,291,29,0,15,1.2,232,23,0.2,0.9,0,12354,258,5301,154,1.7,1.2,0.22,0.03,0.25,1.89,0.12,0.02,0.14,1.06,12.4,354,30,14.9,276,26,51.0,104,26,7.8,279,30,,,,7,,Tolu,Arokodare,Tolu,,,161,0,0,0,5,0,0,0,0,0,0,2,10,,,,0.0,0.0,2.8,1.12,5.59
656,u,0.0,0.0,4.9,336,55,0,0,-1,1,0.1,538,71,1,0,1.0,371,36,0,1,0.0,660,64,0.0,0.2,0,1691,0,8646,84,0.0,0.0,0.0,0.01,0.01,0.1,0.0,0.06,0.06,0.64,1.0,414,47,4.3,343,37,2.0,350,43,0.7,402,43,,,,7,,Saša,Kalajdžić,Kalajdžić,has joined LASK on loan for the rest of the season.,2025-09-08T09:11:55.060395+00:00,14,0,0,0,0,0,0,0,0,0,0,0,2,,,,0.0,0.0,0.0,0.0,12.86
657,i,0.0,0.0,4.5,479,65,0,0,0,0,0.0,614,76,0,0,0.0,650,65,0,0,0.0,621,60,0.0,0.0,0,2339,22,4119,33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,646,65,0.0,639,64,0.0,616,63,0.0,647,65,,,,7,,Leon,Chiwome,Chiwome,Knee injury - Unknown return date,2025-07-21T10:00:05.148649+00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0.0,0.0,0.0,0.0,0.0
