id,status,chance_of_playing_next_round,chance_of_playing_this_round,now_cost,now_cost_rank,now_cost_rank_type,cost_change_event,cost_change_event_fall,cost_change_start,cost_change_start_fall,selected_by_percent,selected_rank,selected_rank_type,total_points,event_points,points_per_game,points_per_game_rank,points_per_game_rank_type,bonus,bps,form,form_rank,form_rank_type,value_form,value_season,dreamteam_count,transfers_in,transfers_in_event,transfers_out,transfers_out_event,ep_next,ep_this,expected_goals,expected_assists,expected_goal_involvements,expected_goals_conceded,expected_goals_per_90,expected_assists_per_90,expected_goal_involvements_per_90,expected_goals_conceded_per_90,influence,influence_rank,influence_rank_type,creativity,creativity_rank,creativity_rank_type,threat,threat_rank,threat_rank_type,ict_index,ict_index_rank,ict_index_rank_type,corners_and_indirect_freekicks_order,direct_freekicks_order,penalties_order,gw,set_piece_threat,first_name,second_name,web_name,news,news_added,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,starts,defensive_contribution,corners_and_indirect_freekicks_text,direct_freekicks_text,penalties_text,saves_per_90,clean_sheets_per_90,goals_conceded_per_90,starts_per_90,defensive_contribution_per_90,tackles,clearances_blocks_interceptions,recoveries
164,u,0.0,0.0,5.5,141,90.0,0,0.0,0,0.0,0.4,275,96.0,12,0,6.0,8.0,2.0,2,36,0.0,721.0,317.0,0.0,2.2,0.0,130744,0,194713,718,0.0,0.0,1.21,0.17,1.38,2.12,0.62,0.09,0.71,1.08,60.8,269.0,116.0,66.6,168.0,114.0,63.0,154.0,94.0,19.0,232.0,114.0,1.0,2.0,2.0,10,,Matt,O'Riley,O'Riley,has joined Marseille on loan for the rest of the season.,,177,1,0,1,2,0,0,0,0,0,0,2,9,,,,0.0,0.51,1.02,1.02,4.58,4,3,2
165,u,0.0,0.0,5.4,185,116.0,0,0.0,-1,1.0,0.0,687,293.0,0,0,0.0,733.0,321.0,0,0,0.0,716.0,313.0,0.0,0.0,0.0,247,0,2138,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,733.0,321.0,0.0,732.0,321.0,0.0,728.0,320.0,0.0,733.0,321.0,,,,10,,Abdallah,Sima,Sima,has joined Lens permanently.,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0.0,0.0,0.0,0.0,0.0,0,0,0
166,a,,,4.9,336,211.0,0,0.0,-1,1.0,0.3,313,110.0,26,3,2.6,198.0,89.0,2,151,2.3,165.0,78.0,0.5,5.9,0.0,47105,520,39468,1259,2.3,2.3,0.96,0.49,1.45,9.74,0.1,0.05,0.15,1.08,124.4,160.0,67.0,133.0,71.0,54.0,103.0,79.0,46.0,36.1,102.0,59.0,3.0,5.0,,10,,Yasin,Ayari,Ayari,,,781,1,0,1,12,0,0,0,0,0,0,8,83,,,,0.0,0.21,1.24,0.93,9.4,18,22,43
167,a,,,4.7,384,240.0,0,0.0,-3,3.0,2.0,127,44.0,14,3,1.5,326.0,151.0,0,68,1.7,210.0,100.0,0.4,3.4,0.0,126669,4425,415271,6070,1.7,1.7,0.14,0.15,0.29,7.65,0.02,0.02,0.04,1.13,27.6,344.0,159.0,45.4,214.0,136.0,10.0,319.0,167.0,8.3,334.0,162.0,,,,10,,Carlos,Baleba,Baleba,,,570,0,0,3,7,0,0,0,3,0,0,9,66,,,,0.0,0.56,0.98,1.4,10.2,11,20,35
169,a,100.0,100.0,4.9,338,212.0,0,0.0,-1,1.0,0.2,341,119.0,25,16,2.8,181.0,81.0,3,109,6.7,11.0,5.0,1.4,5.7,0.0,30254,5446,12022,1144,6.7,6.7,1.67,0.14,1.81,5.69,0.31,0.07,0.38,1.05,137.8,107.0,38.0,66.5,83.0,61.0,120.0,37.0,20.0,32.6,58.0,39.0,,3.0,,10,,Diego,Gómez Amarilla,Gomez,,,454,2,0,1,7,0,0,0,2,0,0,5,54,,,,0.0,0.33,1.17,1.0,10.2,23,11,20
170,d,50.0,25.0,4.9,288,179.0,-1,1.0,-1,1.0,0.1,449,154.0,15,0,2.1,261.0,120.0,0,66,1.3,234.0,110.0,0.3,3.1,0.0,14228,31,18011,724,0.7,0.3,0.79,0.4,1.19,3.34,0.38,0.19,0.57,1.61,79.6,231.0,98.0,71.2,161.0,110.0,17.0,291.0,158.0,16.8,252.0,126.0,,,,10,,James,Milner,Milner,Muscle injury - 50% chance of playing,,187,1,1,0,7,0,0,0,1,0,0,1,19,,,,0.0,0.0,3.37,0.48,9.14,3,6,10
171,u,0.0,0.0,4.9,323,202.0,0,0.0,-1,1.0,0.0,667,282.0,0,0,0.0,701.0,299.0,0,0,0.0,667.0,279.0,0.0,0.0,0.0,196,0,2810,13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,700.0,299.0,0.0,695.0,299.0,0.0,682.0,294.0,0.0,700.0,299.0,,,,10,,Jeremy,Sarmiento Morante,Sarmiento,has joined Cremonese on loan for the rest of the season.,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0.0,0.0,0.0,0.0,0.0,0,0,0
172,a,100.0,100.0,4.9,340,214.0,0,0.0,-1,1.0,0.0,627,255.0,2,1,1.0,404.0,189.0,0,9,0.7,292.0,144.0,0.1,0.4,0.0,1157,49,2438,81,0.7,0.7,0.04,0.01,0.05,0.89,0.09,0.02,0.11,2.0,5.6,410.0,192.0,1.3,389.0,196.0,7.0,337.0,175.0,1.4,411.0,193.0,,,,10,,Tom,Watson,Watson,,,40,0,0,0,2,0,0,0,0,0,0,0,3,,,,0.0,0.0,4.5,0.0,6.75,1,0,2
173,a,100.0,100.0,4.9,329,206.0,0,0.0,-1,1.0,0.4,285,101.0,33,10,4.0,79.0,33.0,2,138,5.7,30.0,17.0,1.2,7.3,0.0,41704,9977,9663,1455,5.7,5.7,0.15,0.93,1.08,5.83,0.02,0.14,0.16,0.93,153.4,109.0,39.0,92.7,99.0,74.0,45.0,176.0,102.0,29.2,118.0,64.0,,,,10,,Mats,Wieffer,Wieffer,,,549,0,3,1,8,0,0,0,3,0,0,6,86,,,,0.0,0.28,1.13,0.99,13.66,27,27,32
174,u,0.0,0.0,5.0,286,178.0,0,0.0,0,0.0,0.0,722,316.0,0,0,0.0,721.0,314.0,0,0,0.0,689.0,295.0,0.0,0.0,0.0,0,0,1232,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,720.0,314.0,0.0,718.0,314.0,0.0,710.0,311.0,0.0,720.0,314.0,,,,10,,Malick,Yalcouyé,Yalcouye,Has joined Swansea City on loan for the rest of the season.,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0.0,0.0,0.0,0.0,0.0,0,0,0
