id,status,chance_of_playing_next_round,chance_of_playing_this_round,now_cost,now_cost_rank,now_cost_rank_type,cost_change_event,cost_change_event_fall,cost_change_start,cost_change_start_fall,selected_by_percent,selected_rank,selected_rank_type,total_points,event_points,points_per_game,points_per_game_rank,points_per_game_rank_type,bonus,bps,form,form_rank,form_rank_type,value_form,value_season,dreamteam_count,transfers_in,transfers_in_event,transfers_out,transfers_out_event,ep_next,ep_this,expected_goals,expected_assists,expected_goal_involvements,expected_goals_conceded,expected_goals_per_90,expected_assists_per_90,expected_goal_involvements_per_90,expected_goals_conceded_per_90,influence,influence_rank,influence_rank_type,creativity,creativity_rank,creativity_rank_type,threat,threat_rank,threat_rank_type,ict_index,ict_index_rank,ict_index_rank_type,corners_and_indirect_freekicks_order,direct_freekicks_order,penalties_order,gw,set_piece_threat,first_name,second_name,web_name,news,news_added,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,starts,defensive_contribution,corners_and_indirect_freekicks_text,direct_freekicks_text,penalties_text,saves_per_90,clean_sheets_per_90,goals_conceded_per_90,starts_per_90,defensive_contribution_per_90
629,a,,,4.0,614,44,0,0,0,0,0.6,213,29,0,0,0.0,460,35,0,0,0.0,424,32,0.0,0.0,0,9056,112,21708,469,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,455,35,0.0,436,20,0.0,402,9,0.0,455,35,,,,7,,Daniel,Bentley,Bentley,,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0.0,0.0,0.0,0.0,0.0
298,a,,,3.9,721,225,0,0,-1,1,0.1,400,149,0,0,0.0,435,157,0,0,0.0,398,146,0.0,0.0,0,3841,52,7885,156,-0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,430,157,0.0,408,153,0.0,374,143,0.0,430,156,,,,7,,Reece,Welch,Welch,,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0.0,0.0,0.0,0.0,0.0
627,a,,,4.5,393,22,0,0,0,0,0.1,419,65,8,3,2.7,177,16,0,47,2.0,172,17,0.4,1.8,0,4326,282,6374,122,2.5,2.0,0.0,0.0,0.0,3.57,0.0,0.0,0.0,1.19,50.8,213,21,0.0,583,72,0.0,557,63,5.1,319,22,,,,7,,Sam,Johnstone,Johnstone,,,270,0,0,0,3,0,0,0,0,0,10,3,0,,,,3.33,0.0,1.0,1.0,0.0
547,a,100.0,100.0,4.9,350,217,0,0,-1,1,0.4,264,91,20,2,3.3,117,48,2,71,1.8,200,91,0.4,4.1,1,52918,426,48590,994,1.3,1.3,0.83,0.24,1.07,5.52,0.2,0.06,0.26,1.32,89.0,122,42,62.2,105,76,29.0,180,106,18.0,138,74,2.0,2.0,,7,,Enzo,Le Fée,E.Le Fée,,2025-09-13T21:30:08.34957+00:00,375,1,0,1,5,0,0,0,0,0,0,4,44,,,,0.0,0.24,1.2,0.96,10.56
579,u,0.0,0.0,8.5,10,5,0,0,0,0,0.1,422,141,0,0,0.0,743,330,0,0,0.0,742,329,0.0,0.0,0,0,0,24207,85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,743,330,0.0,743,330,0.0,743,330,0.0,743,330,,,,7,,Son,Heung-min,Son,Has joined Los Angeles FC permanently.,2025-08-11T01:22:33.649224+00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0.0,0.0,0.0,0.0,0.0
571,a,100.0,100.0,4.3,598,151,0,0,-2,2,0.1,499,182,0,0,0.0,537,213,0,0,0.0,504,206,0.0,0.0,0,2100,103,6866,98,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,532,213,0.0,516,212,0.0,483,203,0.0,533,213,,,,7,,Ben,Davies,Davies,,2025-09-24T06:00:06.226008+00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0.0,0.0,0.0,0.0,0.0
572,i,0.0,0.0,4.5,440,95,0,0,0,0,0.0,720,242,0,0,0.0,621,231,0,0,0.0,594,227,0.0,0.0,0,267,4,413,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,616,231,0.0,609,231,0.0,586,228,0.0,617,231,,,,7,,Radu,Drăgușin,Dragusin,Knee injury - Unknown return date,2025-07-21T10:00:05.088977+00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0.0,0.0,0.0,0.0,0.0
573,a,,,4.5,413,85,0,0,0,0,2.1,128,48,21,0,3.5,104,41,0,75,2.0,174,64,0.4,4.7,0,236019,958,146338,9237,2.0,2.5,0.18,0.17,0.35,5.68,0.04,0.04,0.08,1.27,50.2,216,86,48.5,131,27,26.0,193,48,12.4,203,68,,,,7,,Djed,Spence,Spence,,,403,0,0,3,2,0,0,0,2,0,0,5,16,,,,0.0,0.67,0.45,1.12,3.57
637,d,75.0,75.0,4.4,565,146,0,0,-1,1,0.1,446,169,5,0,0.8,411,136,0,15,1.0,266,98,0.2,1.1,0,3231,11,9933,351,1.1,0.8,0.04,0.03,0.07,7.21,0.01,0.01,0.02,1.66,74.6,151,65,26.5,212,61,27.0,190,46,12.8,199,67,,,,7,,Toti,Gomes,Toti,Illness - 75% chance of playing,2025-10-03T14:00:09.220271+00:00,390,0,0,0,13,0,0,0,0,1,0,5,27,,,,0.0,0.0,3.0,1.15,6.23
218,a,,,4.4,499,68,0,0,-1,1,1.5,152,24,0,0,0.0,541,49,0,0,0.0,509,44,0.0,0.0,0,70385,1209,173099,2838,0.0,-0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,536,49,0.0,521,47,0.0,490,47,0.0,537,49,,,1.0,7,,Ashley,Barnes,Barnes,,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0.0,0.0,0.0,0.0,0.0
