id,first_name,second_name,web_name,status,news,news_added,now_cost,now_cost_rank,now_cost_rank_type,selected_by_percent,selected_rank,selected_rank_type,form,form_rank,form_rank_type,event_points,cost_change_event,cost_change_event_fall,cost_change_start,cost_change_start_fall,transfers_in_event,transfers_out_event,value_form,value_season,ep_next,ep_this,points_per_game,points_per_game_rank,points_per_game_rank_type,chance_of_playing_next_round,chance_of_playing_this_round,influence_rank,influence_rank_type,creativity_rank,creativity_rank_type,threat_rank,threat_rank_type,ict_index_rank,ict_index_rank_type,corners_and_indirect_freekicks_order,direct_freekicks_order,penalties_order,set_piece_threat,corners_and_indirect_freekicks_text,direct_freekicks_text,penalties_text,expected_goals_per_90,expected_assists_per_90,expected_goal_involvements_per_90,expected_goals_conceded_per_90,saves_per_90,clean_sheets_per_90,goals_conceded_per_90,starts_per_90,defensive_contribution_per_90,gw,total_points,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,starts,bonus,bps,transfers_in,transfers_out,dreamteam_count,expected_goals,expected_assists,expected_goal_involvements,expected_goals_conceded,influence,creativity,threat,ict_index,tackles,clearances_blocks_interceptions,recoveries,defensive_contribution
230,Wesley,Fofana,Fofana,a,,2025-08-15T10:30:06.840432+00:00,4.5,443,120,0.2,393,147,0.0,426,185,0,0,0,0,0,365,3040,0.0,0.0,2.4,1.8,0.0,426,185,100.0,75.0,414,193,413,193,372,174,429,194,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,365,3040,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
231,Mamadou,Sarr,M.Sarr,u,Has joined RC Strasbourg on loan for the rest of the season.,2025-08-11T01:09:37.642396+00:00,4.5,532,142,0.0,643,220,0.0,497,197,0,0,0,0,0,0,636,0.0,0.0,0.0,0.0,0.0,497,197,0.0,0.0,483,202,487,202,450,188,498,203,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,636,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
232,Tosin,Adarabioyo,Tosin,d,Knock - 75% chance of playing,2025-08-18T08:00:05.503139+00:00,4.5,377,75,1.2,163,61,0.0,380,157,0,0,0,0,0,3416,11373,0.0,0.0,1.8,2.4,0.0,380,157,75.0,0.0,371,167,369,168,318,141,387,169,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3416,11373,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
233,Josh,Acheampong,Acheampong,a,,,4.0,677,215,1.0,183,70,9.0,13,4,9,0,0,0,0,57662,4837,2.2,2.2,1.5,1.5,9.0,13,4,0.0,0.0,110,48,146,44,69,10,122,38,0.0,0.0,0.0,,,,,0.17,0.01,0.18,1.07,0.0,1.0,0.0,1.0,8.0,1,9,90,0,0,1,0,0,0,0,0,0,0,1,3,33,57662,4837,0,0.17,0.01,0.18,1.07,13.6,2.2,10.0,2.6,2,6,4,8
234,Aarón,Anselmino,Anselmino,a,,,4.0,693,229,0.1,463,179,0.0,369,151,0,0,0,0,0,266,722,0.0,0.0,1.5,1.5,0.0,369,151,0.0,0.0,360,161,357,162,302,131,376,163,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,266,722,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
235,Cole,Palmer,Palmer,a,,,10.5,4,2,61.4,1,1,3.0,114,59,3,0,0,0,0,49365,148016,0.3,0.3,3.6,3.6,3.0,114,59,0.0,0.0,195,83,50,36,34,18,70,40,4.0,1.0,1.0,,,,,0.21,0.03,0.24,1.07,0.0,1.0,0.0,1.0,4.0,1,3,90,0,0,1,0,0,0,0,0,0,0,1,0,9,49365,148016,0,0.21,0.03,0.24,1.07,3.8,16.8,23.0,4.4,1,0,4,4
236,Pedro,Lomba Neto,Neto,a,,,7.0,37,24,3.7,85,27,3.0,109,54,3,0,0,0,0,9463,22728,0.4,0.4,2.8,2.8,3.0,109,54,0.0,0.0,129,45,14,12,73,43,37,23,1.0,0.0,0.0,,,,,0.02,0.36,0.38,1.07,0.0,1.0,0.0,1.0,5.0,1,3,90,0,0,1,0,0,0,0,0,0,0,1,0,10,9463,22728,0,0.02,0.36,0.38,1.07,11.6,37.2,10.0,5.9,1,1,4,5
237,Enzo,Fernández,Enzo,a,,,6.5,66,46,3.5,89,30,3.0,107,52,3,0,0,0,0,8364,25969,0.5,0.5,2.7,2.7,3.0,107,52,0.0,0.0,201,87,53,39,168,94,148,70,2.0,3.0,4.0,,,,,0.0,0.12,0.12,1.18,0.0,1.15,0.0,1.15,0.0,1,3,78,0,0,1,0,0,0,0,0,0,0,1,0,11,8364,25969,0,0.0,0.1,0.1,1.02,3.6,16.3,2.0,2.2,0,0,0,0
238,Estêvão,Almeida de Oliveira Gonçalves,Estêvão,a,,,6.5,78,55,1.6,147,48,0.0,683,301,0,0,0,0,0,6818,19200,0.0,0.0,2.7,2.7,0.0,683,301,0.0,0.0,231,108,116,72,86,51,194,89,0.0,0.0,0.0,,,,,0.85,0.92,1.77,0.18,0.0,0.0,0.0,0.0,7.5,1,0,36,0,0,0,0,0,0,0,1,0,0,0,0,-3,6818,19200,0,0.34,0.37,0.71,0.07,1.2,4.9,8.0,1.4,0,1,2,3
239,Jamie,Bynoe-Gittens,Gittens,a,,,6.5,70,49,0.3,317,103,1.0,240,122,1,0,0,0,0,1278,3353,0.2,0.2,2.7,2.7,1.0,240,122,0.0,0.0,167,65,32,24,72,42,79,45,0.0,0.0,0.0,,,,,0.1,0.1,0.2,1.7,0.0,0.0,0.0,1.7,5.09,1,1,53,0,0,0,0,0,0,0,0,0,0,1,0,4,1278,3353,0,0.06,0.06,0.12,1.0,7.0,22.8,10.0,4.0,1,1,1,3
240,Christopher,Nkunku,Nkunku,a,,,6.0,95,67,0.2,338,115,0.0,663,289,0,0,0,0,0,1142,3227,0.0,0.0,2.6,2.6,0.0,663,289,0.0,0.0,658,286,666,290,662,288,665,289,0.0,0.0,2.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1142,3227,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
241,Moisés,Caicedo Corozo,Caicedo,a,,,5.5,190,121,5.4,69,22,5.0,68,21,5,0,0,0,0,20944,31960,0.9,0.9,2.5,2.5,5.0,68,21,0.0,0.0,29,12,124,75,160,90,91,50,0.0,0.0,0.0,,,,,0.05,0.04,0.09,1.07,0.0,1.0,0.0,1.0,12.0,1,5,90,0,0,1,0,0,0,0,0,0,0,1,0,18,20944,31960,0,0.05,0.04,0.09,1.07,31.0,3.9,2.0,3.7,5,6,1,12
242,Kiernan,Dewsbury-Hall,Dewsbury-Hall,a,,,5.0,269,169,4.7,74,26,0.0,549,218,0,0,0,0,0,9160,17721,0.0,0.0,1.5,2.0,0.0,549,218,0.0,0.0,539,210,546,217,520,200,553,217,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9160,17721,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,2,2,0
243,Tyrique,George,George,a,,,5.0,344,217,0.1,560,218,0.0,596,248,0,0,0,0,0,274,531,0.0,0.0,2.0,2.0,0.0,596,248,0.0,0.0,588,242,592,246,572,233,597,246,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,274,531,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
244,Roméo,Lavia,Lavia,i,Muscle injury - Unknown return date,2025-08-10T22:00:04.594276+00:00,5.0,337,210,0.0,642,277,0.0,592,244,0,0,0,0,0,25,628,0.0,0.0,0.0,0.0,0.0,592,244,0.0,0.0,584,238,588,242,568,229,593,242,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,628,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
245,Mykhailo,Mudryk,Mudryk,s,Suspended - unknown return date,2025-07-21T10:00:04.82421+00:00,5.0,310,191,0.0,676,299,0.0,576,234,0,0,0,0,0,64,125,0.0,0.0,0.0,0.0,0.0,576,234,0.0,0.0,567,228,574,233,550,217,579,233,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64,125,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
246,Andrey,Nascimento dos Santos,Andrey Santos,a,,,4.5,503,270,0.3,296,95,1.0,191,92,1,0,0,0,0,3105,2512,0.2,0.2,1.5,1.5,1.0,191,92,0.0,0.0,237,112,229,120,37,19,143,67,0.0,0.0,0.0,,,,,3.03,0.0,3.03,0.41,0.0,0.0,0.0,0.0,0.0,1,1,11,0,0,0,0,0,0,0,0,0,0,0,0,1,3105,2512,0,0.37,0.0,0.37,0.05,0.4,0.2,21.0,2.2,0,0,0,0
247,Dário,Luís Essugo,D.Essugo,a,,,4.5,473,254,0.1,562,219,0.0,445,152,0,0,0,0,0,296,423,0.0,0.0,1.5,1.5,0.0,445,152,0.0,0.0,433,140,436,149,396,125,448,148,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,296,423,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
