id,status,chance_of_playing_next_round,chance_of_playing_this_round,now_cost,now_cost_rank,now_cost_rank_type,cost_change_event,cost_change_event_fall,cost_change_start,cost_change_start_fall,selected_by_percent,selected_rank,selected_rank_type,total_points,event_points,points_per_game,points_per_game_rank,points_per_game_rank_type,bonus,bps,form,form_rank,form_rank_type,value_form,value_season,dreamteam_count,transfers_in,transfers_in_event,transfers_out,transfers_out_event,ep_next,ep_this,expected_goals,expected_assists,expected_goal_involvements,expected_goals_conceded,expected_goals_per_90,expected_assists_per_90,expected_goal_involvements_per_90,expected_goals_conceded_per_90,influence,influence_rank,influence_rank_type,creativity,creativity_rank,creativity_rank_type,threat,threat_rank,threat_rank_type,ict_index,ict_index_rank,ict_index_rank_type,corners_and_indirect_freekicks_order,direct_freekicks_order,penalties_order,gw,set_piece_threat,first_name,second_name,web_name,news,news_added,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,starts,defensive_contribution,corners_and_indirect_freekicks_text,direct_freekicks_text,penalties_text,saves_per_90,clean_sheets_per_90,goals_conceded_per_90,starts_per_90,defensive_contribution_per_90,tackles,clearances_blocks_interceptions,recoveries
1,a,0.0,0.0,5.5,131,,0,,0,,18.2,26,,10,10,,,,3,38,10.0,,,1.8,1.8,,97946,97946,25351,25351,5.0,4.5,0.0,0.0,0.0,1.52,,,,,49.2,,,0.0,,,0.0,,,4.9,,,,,,1,,David,Raya Martín,Raya,,,90,0,0,1,0,0,0,0,1,0,7,1,14,,,,,,,,,0,1,13
2,a,0.0,0.0,4.5,378,,0,,0,,0.9,189,,0,0,,,,0,0,0.0,,,0.0,0.0,,1400,1400,5686,5686,3.3,2.8,0.0,0.0,0.0,0.0,,,,,0.0,,,0.0,,,0.0,,,0.0,,,,,,1,,Kepa,Arrizabalaga Revuelta,Arrizabalaga,,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,0,0,0
3,a,0.0,0.0,4.0,626,,0,,0,,0.6,230,,0,0,,,,0,0,0.0,,,0.0,0.0,,1966,1966,2244,2244,2.0,1.5,0.0,0.0,0.0,0.0,,,,,0.0,,,0.0,,,0.0,,,0.0,,,,,,1,,Karl,Hein,Hein,Has joined Werder Bremen on loan for the rest of the season.,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,0,0,0
4,a,0.0,0.0,4.0,670,,0,,0,,0.2,428,,0,0,,,,0,0,0.0,,,0.0,0.0,,483,483,689,689,2.0,1.5,0.0,0.0,0.0,0.0,,,,,0.0,,,0.0,,,0.0,,,0.0,,,,,,1,,Tommy,Setford,Setford,,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,0,0,0
5,a,0.0,0.0,6.0,99,,0,,0,,18.9,25,,6,6,,,,0,23,6.0,,,1.0,1.0,,97304,97304,34962,34962,5.0,4.5,0.0,0.0,0.0,1.52,,,,,22.8,,,0.3,,,4.0,,,2.7,,,,,,1,,Gabriel,dos Santos Magalhães,Gabriel,Thigh injury - 75% chance of playing,,90,0,0,1,0,0,0,0,0,0,0,1,8,,,,,,,,,1,6,1
6,a,0.0,0.0,6.0,105,,0,,0,,15.1,30,,9,9,,,,1,25,9.0,,,1.5,1.5,,88127,88127,26938,26938,5.0,4.5,0.0,0.0,0.0,1.52,,,,,31.4,,,0.1,,,0.0,,,3.2,,,,,,1,,William,Saliba,Saliba,,,90,0,0,1,0,0,0,0,0,0,0,1,17,,,,,,,,,4,10,3
7,a,0.0,0.0,5.5,183,,0,,0,,1.8,138,,13,13,,,,2,33,13.0,,,2.4,2.4,,66368,66368,6591,6591,4.3,3.8,0.91,0.01,0.92,0.87,,,,,36.2,,,2.1,,,35.0,,,7.3,,,,,,1,,Riccardo,Calafiori,Calafiori,Hip injury - 75% chance of playing,,71,1,0,1,0,0,0,0,1,0,0,1,9,,,,,,,,,1,3,5
8,a,0.0,0.0,5.5,179,,0,,0,,2.2,116,,0,0,,,,0,-3,0.0,,,0.0,0.0,,7847,7847,16360,16360,4.3,3.8,0.0,0.0,0.0,0.66,,,,,3.0,,,0.3,,,0.0,,,0.3,,,,,,1,,Jurriën,Timber,J.Timber,,,19,0,0,0,0,0,0,0,1,0,0,0,4,,,,,,,,,2,1,1
9,a,0.0,0.0,5.5,174,,0,,0,,0.1,459,,0,0,,,,0,0,0.0,,,0.0,0.0,,207,207,930,930,4.3,3.8,0.0,0.0,0.0,0.0,,,,,0.0,,,0.0,,,0.0,,,0.0,,,,,,1,,Jakub,Kiwior,Kiwior,has joined Porto on loan for the rest of the season.,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,0,0,0
10,a,0.0,0.0,5.5,194,,0,,0,,4.2,78,,0,0,,,,0,-1,0.0,,,0.0,0.0,,13962,13962,32592,32592,4.3,3.8,0.0,0.0,0.0,0.66,,,,,0.2,,,0.0,,,0.0,,,0.0,,,,,,1,,Myles,Lewis-Skelly,Lewis-Skelly,,,18,0,0,0,0,0,0,0,1,0,0,0,1,,,,,,,,,0,1,0
11,a,0.0,0.0,5.5,142,,0,,0,,0.9,186,,6,6,,,,0,23,6.0,,,1.1,1.1,,7413,7413,3332,3332,4.3,3.8,0.01,0.01,0.02,0.87,,,,,15.4,,,11.3,,,1.0,,,2.8,,,,,,1,,Benjamin,White,White,,,70,0,0,1,0,0,0,0,0,0,0,1,12,,,,,,,,,2,6,4
13,a,0.0,0.0,4.0,673,,0,,0,,0.6,233,,0,0,,,,0,0,0.0,,,0.0,0.0,,3241,3241,3530,3530,2.0,1.5,0.0,0.0,0.0,0.0,,,,,0.0,,,0.0,,,0.0,,,0.0,,,,,,1,,Brayden,Clarke,Clarke,,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,0,0,0
14,a,0.0,0.0,4.0,683,,0,,0,,0.2,392,,0,0,,,,0,0,0.0,,,0.0,0.0,,738,738,1187,1187,2.0,1.5,0.0,0.0,0.0,0.0,,,,,0.0,,,0.0,,,0.0,,,0.0,,,,,,1,,Maldini,Kacurri,Kacurri,has joined Morecambe on loan for the rest of the season.,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,0,0,0
15,a,0.0,0.0,4.0,648,,0,,0,,0.2,383,,0,0,,,,0,0,0.0,,,0.0,0.0,,614,614,1067,1067,2.0,1.5,0.0,0.0,0.0,0.0,,,,,0.0,,,0.0,,,0.0,,,0.0,,,,,,1,,Josh,Nichols,Nichols,,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,0,0,0
16,a,0.0,0.0,10.0,5,,0,,0,,16.8,27,,3,3,,,,0,7,3.0,,,0.3,0.3,,49836,49836,44476,44476,4.0,3.5,0.15,0.09,0.24,1.52,,,,,12.0,,,16.4,,,7.0,,,3.5,,,,,,1,,Bukayo,Saka,Saka,,,90,0,0,1,0,0,0,0,0,0,0,1,5,,,,,,,,,3,0,2
17,a,0.0,0.0,8.0,14,,0,,0,,3.7,88,,5,5,,,,0,16,5.0,,,0.6,0.6,,19345,19345,15088,15088,3.6,3.1,0.09,0.29,0.38,1.52,,,,,17.8,,,20.3,,,17.0,,,5.5,,,,,,1,,Martin,Ødegaard,Ødegaard,Knee injury - 50% chance of playing,,90,0,0,1,0,0,0,0,0,0,0,1,14,,,,,,,,,1,6,7
18,a,0.0,0.0,7.0,38,,0,,0,,1.1,173,,1,1,,,,0,2,1.0,,,0.1,0.1,,2200,2200,8933,8933,3.3,2.8,0.0,0.02,0.02,0.82,,,,,1.6,,,10.7,,,2.0,,,1.4,,,,,,1,,Noni,Madueke,Madueke,Knee injury - 50% chance of playing,,30,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,0,0,0
