id,status,chance_of_playing_next_round,chance_of_playing_this_round,now_cost,now_cost_rank,now_cost_rank_type,cost_change_event,cost_change_event_fall,cost_change_start,cost_change_start_fall,selected_by_percent,selected_rank,selected_rank_type,total_points,event_points,points_per_game,points_per_game_rank,points_per_game_rank_type,bonus,bps,form,form_rank,form_rank_type,value_form,value_season,dreamteam_count,transfers_in,transfers_in_event,transfers_out,transfers_out_event,ep_next,ep_this,expected_goals,expected_assists,expected_goal_involvements,expected_goals_conceded,expected_goals_per_90,expected_assists_per_90,expected_goal_involvements_per_90,expected_goals_conceded_per_90,influence,influence_rank,influence_rank_type,creativity,creativity_rank,creativity_rank_type,threat,threat_rank,threat_rank_type,ict_index,ict_index_rank,ict_index_rank_type,corners_and_indirect_freekicks_order,direct_freekicks_order,penalties_order,gw,set_piece_threat,first_name,second_name,web_name,news,news_added,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,starts,defensive_contribution,corners_and_indirect_freekicks_text,direct_freekicks_text,penalties_text,saves_per_90,clean_sheets_per_90,goals_conceded_per_90,starts_per_90,defensive_contribution_per_90
597,a,,,6.8,48,17,0,0,3,-3,17.6,20,5,31,2,5.2,39,5,6,130,3.5,83,11,0.5,4.6,1,2223744,20094,817875,15492,4.0,3.5,1.66,0.19,1.85,6.17,0.34,0.04,0.38,1.27,141.4,16,4,48.3,91,8,190.0,2,2,38.0,7,2,,,3.0,6,,Richarlison,de Andrade,Richarlison,,,437,3,1,2,4,0,0,0,1,0,0,5,24,,,,0.0,0.41,0.82,1.03,4.94
598,u,0.0,0.0,4.5,468,60,0,0,0,0,0.0,624,77,0,0,0.0,630,61,0,0,0.0,610,57,0.0,0.0,0,0,0,4306,22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,619,59,0.0,613,59,0.0,588,57,0.0,621,60,,,,6,,Will,Lankshear,Lankshear,Has joined Oxford United on loan for the rest of the season.,2025-08-11T01:18:54.659436+00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0.0,0.0,0.0,0.0,0.0
673,a,,,5.5,140,88,0,0,0,0,0.9,187,63,28,8,4.7,56,20,3,111,4.0,55,23,0.7,5.1,1,90740,1919,56821,723,4.5,4.0,0.45,0.07,0.52,5.75,0.1,0.01,0.11,1.22,92.8,74,23,13.8,249,146,39.0,113,68,14.6,116,63,,,,6,,João Maria,Lobo Alves Palhares Costa Palhinha Gonçalves,J.Palhinha,,,423,2,0,2,4,0,0,0,1,0,0,5,48,,,,0.0,0.43,0.85,1.06,10.21
602,a,,,4.0,668,72,0,0,0,0,0.2,339,51,0,0,0.0,488,61,0,0,0.0,459,60,0.0,0.0,0,2050,14,6478,85,-0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,478,61,0.0,461,44,0.0,424,37,0.0,480,61,,,,6,,Krisztián,Hegyi,Hegyi,,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0.0,0.0,0.0,0.0,0.0
603,a,,,4.4,596,154,0,0,-1,1,3.8,93,36,18,0,3.6,105,44,1,50,3.5,71,26,0.8,4.1,0,85974,1219,427912,4203,3.0,3.5,0.17,0.65,0.82,7.75,0.03,0.13,0.16,1.55,125.6,29,10,102.9,30,5,37.0,118,20,26.6,26,4,,,,6,,El Hadji Malick,Diouf,Diouf,,,450,0,3,1,13,0,0,0,1,0,0,5,30,,,,0.0,0.2,2.6,1.0,6.0
604,u,0.0,0.0,4.4,513,116,0,0,-1,1,0.1,497,184,0,0,0.0,532,210,0,0,0.0,506,205,0.0,0.0,0,1719,0,17221,78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,523,213,0.0,508,212,0.0,474,199,0.0,525,213,3.0,3.0,,6,,Emerson,Palmieri dos Santos,Emerson,has joined Marseille permanently.,2025-09-02T13:30:06.113081+00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0.0,0.0,0.0,0.0,0.0
284,a,100.0,100.0,5.4,180,43,0,0,-1,1,0.2,362,55,5,4,2.5,197,17,0,28,1.2,245,24,0.2,0.9,0,7883,1404,28015,208,1.2,0.2,0.61,0.0,0.61,0.79,1.83,0.0,1.83,2.37,3.4,373,32,10.4,279,26,7.0,271,36,2.1,356,36,,,,6,,Eddie,Nketiah,Nketiah,,2025-08-10T22:30:04.865817+00:00,30,1,0,0,1,0,0,0,1,0,0,0,2,,,,0.0,0.0,3.0,0.0,6.0
297,a,,,4.0,676,190,0,0,0,0,0.2,368,132,0,0,0.0,495,185,0,0,0.0,466,177,0.0,0.0,0,4021,67,10231,91,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,485,187,0.0,468,185,0.0,431,169,0.0,487,187,,,,6,,Roman,Dixon,Dixon,,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0.0,0.0,0.0,0.0,0.0
468,u,0.0,0.0,4.5,478,62,0,0,0,0,0.1,442,63,0,0,0.0,639,62,0,0,0.0,619,58,0.0,0.0,0,3886,0,9581,228,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,629,61,0.0,623,61,0.0,597,58,0.0,630,61,,,,6,,Ethan,Wheatley,Wheatley,has joined Northampton Town on loan for the rest of the season.,2025-09-22T21:18:26.096577+00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0.0,0.0,0.0,0.0,0.0
733,a,,,5.0,277,13,0,0,0,0,0.1,437,66,0,0,0.0,693,85,0,0,0.0,681,85,0.0,0.0,0,12682,103,5177,289,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,689,85,0.0,690,83,0.0,674,80,0.0,690,85,,,,6,,Senne,Lammens,Lammens,,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0.0,0.0,0.0,0.0,0.0
