id,status,chance_of_playing_next_round,chance_of_playing_this_round,now_cost,now_cost_rank,now_cost_rank_type,cost_change_event,cost_change_event_fall,cost_change_start,cost_change_start_fall,selected_by_percent,selected_rank,selected_rank_type,total_points,event_points,points_per_game,points_per_game_rank,points_per_game_rank_type,bonus,bps,form,form_rank,form_rank_type,value_form,value_season,dreamteam_count,transfers_in,transfers_in_event,transfers_out,transfers_out_event,ep_next,ep_this,expected_goals,expected_assists,expected_goal_involvements,expected_goals_conceded,expected_goals_per_90,expected_assists_per_90,expected_goal_involvements_per_90,expected_goals_conceded_per_90,influence,influence_rank,influence_rank_type,creativity,creativity_rank,creativity_rank_type,threat,threat_rank,threat_rank_type,ict_index,ict_index_rank,ict_index_rank_type,corners_and_indirect_freekicks_order,direct_freekicks_order,penalties_order,gw,set_piece_threat,first_name,second_name,web_name,news,news_added,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,starts,defensive_contribution,corners_and_indirect_freekicks_text,direct_freekicks_text,penalties_text,saves_per_90,clean_sheets_per_90,goals_conceded_per_90,starts_per_90,defensive_contribution_per_90,tackles,clearances_blocks_interceptions,recoveries
102,a,,,4.0,642,60,0,0,0,0,0.3,302,44,0,0,0.0,436,44,0,0,0.0,434,44,0.0,0.0,0,5662,380,7114,459,0.0,-0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,428,44,0.0,414,29,0.0,369,22,0.0,432,44,,,,4,,Ellery,Balcombe,Balcombe,,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
155,a,,,4.0,723,228,0,0,0,0,0.2,379,137,0,0,0.0,504,198,0,0,0.0,502,198,0.0,0.0,0,2622,145,6393,350,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,497,201,0.0,483,199,0.0,440,179,0.0,501,201,,,,4,,Jacob,Slater,Slater,,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,a,,,4.0,707,82,0,0,0,0,0.2,353,54,0,0,0.0,490,66,0,0,0.0,488,66,0.0,0.0,0,7957,891,6061,497,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,482,66,0.0,468,51,0.0,425,44,0.0,486,66,,,,4,,Tommy,Setford,Setford,,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
67,a,,,4.5,440,27,0,0,0,0,4.5,84,12,15,2,3.8,108,13,0,60,4.3,71,10,1.0,3.3,0,263562,12106,122029,7003,3.8,4.3,0.0,0.0,0.0,3.48,0.0,0.0,0.0,0.87,79.0,67,11,0.0,573,71,0.0,543,65,7.9,190,12,,,,4,,Đorđe,Petrović,Petrović,,,360,0,0,2,5,0,0,0,1,0,9,4,0,,,,2.25,0.5,1.25,1.0,0.0,0.0,1.0,5.0
453,a,,,6.4,72,51,0,0,-1,1,0.3,310,104,1,1,1.0,383,187,0,4,0.2,392,188,0.0,0.2,0,18030,2336,15008,1600,0.7,0.7,0.0,0.05,0.05,0.71,0.0,0.41,0.41,5.81,2.0,373,178,10.5,252,146,6.0,263,145,1.9,339,166,,,,4,,Alejandro,Garnacho Ferreyra,Garnacho,,,11,0,0,0,1,0,0,0,0,0,0,0,1,,,,0.0,0.0,8.18,0.0,8.18,0.0,0.0,1.0
68,a,,,4.0,655,63,0,0,0,0,1.1,176,25,0,0,0.0,446,47,0,0,0.0,444,47,0.0,0.0,0,25004,1682,22272,1629,-0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,438,47,0.0,424,32,0.0,379,25,0.0,442,47,,,,4,,Will,Dennis,Dennis,,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
296,a,100.0,50.0,4.4,553,142,0,0,-1,1,0.0,667,225,0,0,0.0,529,216,0,0,0.0,527,216,0.0,0.0,0,169,28,1791,22,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,522,219,0.0,509,218,0.0,469,201,0.0,526,219,,,,4,,Nathan,Patterson,Patterson,,2025-08-10T22:30:04.898823+00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
723,a,,,4.5,522,118,0,0,0,0,0.0,725,243,0,0,0.0,643,231,0,0,0.0,643,231,0.0,0.0,0,176,34,44,17,2.0,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,639,233,0.0,633,233,0.0,605,224,0.0,642,233,,,,4,,Jaydee,Canvot,Canvot,,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
306,a,,,4.5,477,278,0,0,0,0,0.1,521,183,0,0,0.0,609,243,0,0,0.0,608,242,0.0,0.0,0,1966,235,4006,237,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,602,235,0.0,597,238,0.0,568,226,0.0,606,238,,,,4,,Callum,Bates,Bates,,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
312,u,0.0,0.0,4.9,363,57,0,0,-1,1,0.1,471,66,0,0,0.0,671,67,0,0,0.0,671,67,0.0,0.0,0,2418,0,10115,652,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,668,66,0.0,661,66,0.0,637,63,0.0,670,66,,,,4,,Youssef,Ramalho Chermiti,Y.Chermiti,has joined Rangers permanently.,2025-09-02T12:26:54.689038+00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
