id,first_name,second_name,web_name,status,news,news_added,now_cost,now_cost_rank,now_cost_rank_type,selected_by_percent,selected_rank,selected_rank_type,form,form_rank,form_rank_type,event_points,cost_change_event,cost_change_event_fall,cost_change_start,cost_change_start_fall,transfers_in_event,transfers_out_event,value_form,value_season,ep_next,ep_this,points_per_game,points_per_game_rank,points_per_game_rank_type,chance_of_playing_next_round,chance_of_playing_this_round,influence_rank,influence_rank_type,creativity_rank,creativity_rank_type,threat_rank,threat_rank_type,ict_index_rank,ict_index_rank_type,corners_and_indirect_freekicks_order,direct_freekicks_order,penalties_order,set_piece_threat,corners_and_indirect_freekicks_text,direct_freekicks_text,penalties_text,expected_goals_per_90,expected_assists_per_90,expected_goal_involvements_per_90,expected_goals_conceded_per_90,saves_per_90,clean_sheets_per_90,goals_conceded_per_90,starts_per_90,defensive_contribution_per_90,gw,total_points,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,starts,bonus,bps,transfers_in,transfers_out,dreamteam_count,expected_goals,expected_assists,expected_goal_involvements,expected_goals_conceded,influence,creativity,threat,ict_index,tackles,clearances_blocks_interceptions,recoveries,defensive_contribution
1,David,Raya Martín,Raya,a,,,5.9,94,1.0,32.4,8,2.0,3.2,73.0,6.0,0,0,0.0,4,-4.0,480,457,0.5,9.0,4.2,4.2,4.8,39.0,2.0,,,116.0,15.0,346.0,3.0,739.0,86.0,250.0,16.0,,,,,,,,0.0,0.0,0.0,0.56,1.45,0.64,0.45,1.0,0.0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11191,7957,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
2,Kepa,Arrizabalaga Revuelta,Arrizabalaga,a,,,4.2,608,38.0,0.4,247,34.0,0.0,488.0,68.0,0,0,0.0,-3,3.0,3,15,0.0,0.0,1.0,1.0,0.0,560.0,75.0,,,553.0,76.0,538.0,62.0,506.0,49.0,554.0,76.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,161,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
3,Karl,Hein,Hein,u,Has joined Werder Bremen on loan for the rest of the season.,,4.0,649,58.0,0.3,324,47.0,0.0,450.0,56.0,0,0,0.0,0,0.0,0,6,0.0,0.0,0.0,0.0,0.0,526.0,63.0,0.0,0.0,518.0,64.0,503.0,50.0,470.0,37.0,519.0,64.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,88,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
4,Tommy,Setford,Setford,a,,,4.0,671,66.0,0.2,361,54.0,0.0,468.0,64.0,0,0,0.0,0,0.0,6,3,0.0,0.0,1.0,1.0,0.0,542.0,71.0,,,534.0,72.0,519.0,58.0,487.0,45.0,535.0,72.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
5,Gabriel,dos Santos Magalhães,Gabriel,i,Thigh injury - Unknown return date,,6.5,56,1.0,30.5,10,3.0,5.5,7.0,2.0,0,0,0.0,5,-5.0,82,25527,0.8,12.5,0.0,0.0,7.4,2.0,1.0,0.0,0.0,8.0,3.0,175.0,43.0,113.0,16.0,54.0,10.0,,,,,,,,0.07,0.06,0.13,0.56,0.0,0.64,0.45,1.0,9.09,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,464,376521,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
6,William,Saliba,Saliba,a,,,6.0,89,5.0,12.5,34,11.0,2.0,158.0,55.0,0,0,0.0,0,0.0,2857,176,0.3,6.5,3.0,3.0,3.9,87.0,36.0,100.0,100.0,105.0,47.0,250.0,75.0,296.0,92.0,212.0,67.0,,,,,,,,0.04,0.03,0.07,0.58,0.0,0.62,0.37,1.12,7.09,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27443,2558,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
7,Riccardo,Calafiori,Calafiori,d,Hip injury - 75% chance of playing,,5.8,111,8.0,14.9,27,10.0,3.2,72.0,22.0,0,0,0.0,3,-3.0,524,2072,0.6,10.5,3.2,3.2,5.5,16.0,11.0,75.0,75.0,131.0,57.0,125.0,26.0,34.0,2.0,73.0,17.0,,,,,,,,0.24,0.03,0.27,0.5,0.0,0.74,0.53,1.16,4.94,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4457,35435,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
8,Jurriën,Timber,J.Timber,a,,,6.2,79,2.0,29.3,11,4.0,3.2,74.0,23.0,0,0,0.0,7,-7.0,8668,361,0.5,10.8,4.2,4.2,6.1,6.0,4.0,,,42.0,17.0,44.0,8.0,25.0,1.0,22.0,1.0,,,,,,,,0.21,0.07,0.28,0.52,0.0,0.61,0.51,1.02,6.23,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,114070,7648,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
9,Jakub,Kiwior,Kiwior,u,has joined Porto on loan for the rest of the season.,,5.4,173,20.0,0.1,564,203.0,0.0,710.0,245.0,0,0,0.0,-1,1.0,0,0,0.0,0.0,0.0,0.0,0.0,731.0,249.0,0.0,0.0,731.0,249.0,730.0,249.0,725.0,247.0,731.0,249.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
10,Myles,Lewis-Skelly,Lewis-Skelly,a,,,5.1,234,35.0,1.6,140,55.0,0.5,300.0,98.0,0,0,0.0,-4,4.0,33,52,0.1,1.2,1.5,1.5,0.9,434.0,145.0,,,391.0,144.0,361.0,124.0,364.0,132.0,403.0,141.0,,,,,,,,0.0,0.0,0.0,1.04,0.0,0.0,0.0,0.0,5.23,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,398,609,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
11,Benjamin,White,White,a,,,5.3,195,26.0,0.4,263,99.0,0.0,701.0,242.0,0,0,0.0,-2,2.0,27,12,0.0,1.1,1.0,1.0,6.0,7.0,5.0,100.0,100.0,374.0,139.0,340.0,119.0,382.0,137.0,394.0,138.0,,,,,,,,0.01,0.01,0.02,1.12,0.0,1.29,0.0,1.29,10.29,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,152,136,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
13,Brayden,Clarke,Clarke,a,,,3.8,750,247.0,0.5,246,90.0,0.0,369.0,127.0,0,0,0.0,-2,2.0,44,19,0.0,0.0,1.0,1.0,0.0,451.0,160.0,,,443.0,159.0,425.0,157.0,387.0,142.0,443.0,158.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,654,215,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
14,Maldini,Kacurri,Kacurri,u,has joined Morecambe on loan for the rest of the season.,,3.9,741,238.0,0.1,440,160.0,0.0,415.0,156.0,0,0,0.0,-1,1.0,0,10,0.0,0.0,0.0,0.0,0.0,492.0,184.0,0.0,0.0,485.0,184.0,467.0,182.0,434.0,172.0,485.0,183.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
15,Josh,Nichols,Nichols,a,,,3.9,723,223.0,0.2,373,134.0,0.0,399.0,143.0,0,0,0.0,-1,1.0,2,4,0.0,0.0,1.0,1.0,0.0,477.0,172.0,,,470.0,172.0,452.0,170.0,418.0,159.0,470.0,171.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,72,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
