id,first_name,second_name,web_name,status,news,now_cost,selected_by_percent,form,event_points,cost_change_event,transfers_in_event,transfers_out_event,value_form,value_season,ep_next,ep_this,total_points,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,starts,bonus,bps,transfers_in,transfers_out,dreamteam_count,expected_goals,expected_assists,expected_goal_involvements,expected_goals_conceded,influence,creativity,threat,ict_index
445,Harry,Amass,Amass,u,has joined Sheffield Wednesday on loan for the rest of the season.,4.0,0.1,0.0,0,0,0,448,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,235,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
446,Tyler,Fredricson,Fredricson,a,,3.9,0.1,0.0,0,0,146,612,0.0,0.0,-1.0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86,360,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
49,Leon,Bailey,Bailey,u,Has joined AS Roma on loan for the rest of the season.,5.5,0.1,0.0,0,0,0,431,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,235,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
688,James,Wright,Wright,a,,4.0,0.5,0.0,0,0,369,1309,0.0,0.0,0.0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,194,783,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
738,Lukasz,Fabianski,Fabianski,a,,4.5,0.0,0.0,0,0,334,230,0.0,0.0,0.0,-0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,203,145,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
695,Jackson,Tchatchoua,Tchatchoua,a,,4.5,0.0,2.0,4,0,244,101,0.4,2.0,2.5,2.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,160,73,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
619,Luis Guilherme,Lira dos Santos,L.Guilherme,a,,4.9,0.0,0.7,0,0,51,84,0.1,0.6,0.7,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,60,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
621,Andy,Irving,Irving,a,,4.4,0.3,0.3,0,0,2665,2542,0.1,0.9,0.3,-0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1556,1454,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
659,Kyle,Walker-Peters,Walker-Peters,a,,4.4,0.3,1.0,1,0,415,1702,0.2,2.5,1.0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,222,979,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
679,Mads,Hermansen,Hermansen,a,,4.4,0.3,0.0,0,-1,346,1869,0.0,2.0,0.0,-0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,185,1189,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
